numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,0.2583508933,0.0723080673,1,1,1,1,0.9995840224,0.2098400817,0.0142640111,0.0002966902,0.0001765118
7,0.2906685679,0.0737818545,1,1,1,1,0.9977242091,0.1095596138,0.0048799712,7.11797622747218E-005,4.08143813631215E-005
8,0.2585481012,0.0505986993,1,1,1,1,0.9999990875,0.1236143554,0.0008638446,4.50429057950955E-007,1.61269109905833E-007
9,0.2490351771,0.0552175876,1,1,1,1,0.9999972534,0.1872608322,0.0034768585,7.49048032087044E-006,3.24031414304905E-006
10,0.2630897563,0.0694054995,1,1,1,1,0.9996792371,0.181674465,0.009391491,0.0001328989,7.51363699241509E-005
11,0.2591272037,0.0495744786,1,1,1,1,0.9999994095,0.1164945373,0.000663995,2.51307859975273E-007,8.61280636028557E-008
12,0.2541301614,0.0428150391,1,1,1,1,0.9999999953,0.1030649248,0.0001591655,5.92145857301805E-009,1.46444457322548E-009
13,0.2565843988,0.0398568659,1,1,1,1,0.9999999995,0.0778489577,4.27088113229807E-005,3.07089491804204E-010,6.06702403183832E-011
14,0.2619828739,0.0438617575,1,1,1,1,0.9999999713,0.0788070478,0.0001107981,4.59785966278258E-009,1.1652038094253E-009
15,0.2667480423,0.046930426,1,1,1,1,0.9999996655,0.0774729985,0.0001903669,2.239755717023E-008,6.58270495153913E-009
16,0.2741866496,0.0585833527,1,1,1,1,0.9999420322,0.1026950596,0.0014730189,3.24771759659525E-006,1.43239837674997E-006
17,0.2631834518,0.0538566099,1,1,1,1,0.9999945164,0.1203619857,0.0012229248,0.000001294,5.12586921417135E-007
18,0.2930195357,0.0941890831,1,1,1,1,0.9860076044,0.1616784616,0.0202175109,0.0013287694,0.0009323653
19,0.3155137847,0.1009539244,1,1,1,1,0.966182418,0.1262656195,0.016389749,0.0012379575,0.0008880447
20,0.2569650158,0.0456319378,1,1,1,1,0.9999999498,0.1059499062,0.0002910656,3.11433968713223E-008,8.94521951925168E-009
21,0.275438414,0.0781220708,1,1,1,1,0.997976636,0.1671101979,0.0123617466,0.0003397259,0.0002111476
22,0.2401672285,0.0384892974,1,1,1,1,1,0.1483364628,0.0001354115,1.11546926890709E-009,2.19003133597567E-010
23,0.2526871615,0.0312326435,1,1,1,1,1,0.0458087815,5.07508892298937E-007,3.91487276831826E-015,2.9714375294414E-016
24,0.2407385365,0.045024308,1,1,1,1,0.9999999958,0.1827824826,0.0008865064,0.000000149,4.47473313000917E-008
25,0.2429738911,0.029739064,1,1,1,1,1,0.074224487,7.63717967709545E-007,2.36416870054757E-015,1.53948320794255E-016
26,0.242926525,0.0423560916,1,1,1,1,0.9999999994,0.1554184404,0.0003698798,1.90710428290732E-008,4.86588774258539E-009
27,0.2345157526,0.0236974154,1,1,1,1,1,0.0726245022,6.87837943822607E-009,1.34313965281084E-021,2.16069828363894E-023
28,0.2335434527,0.0263284948,1,1,1,1,1,0.1013253115,1.96618965940967E-007,1.02828989179977E-017,3.64520957932283E-019
29,0.2262094302,0.0233681833,1,1,1,1,1,0.1310192267,3.31520381049938E-008,1.09857048166535E-020,1.8294279947058E-022
30,0.2492175445,0.0447045936,1,1,1,1,0.9999999899,0.1354591016,0.0004221358,4.37171162156804E-008,1.23933059322671E-008
31,0.2367871865,0.0315255959,1,1,1,1,1,0.1216255786,7.15907847508958E-006,3.15182890381017E-013,2.93498185976548E-014
32,0.2287625452,0.0321670969,1,1,1,1,1,0.1856180302,3.12817875659539E-005,5.20136867427201E-012,5.7313660247474E-013
33,0.2278270578,0.0338298593,1,1,1,1,1,0.2053793891,7.88791766805312E-005,6.01714946178476E-011,8.22494651142313E-012
34,0.2228080436,0.0315124975,1,1,1,1,1,0.2346011047,4.86713175091209E-005,7.23437787862171E-012,7.72071063401495E-013
35,0.2244829751,0.028270705,1,1,1,1,1,0.1932397991,5.33206376862495E-006,1.64005441148917E-014,1.00699955376129E-015
36,0.2212257845,0.0277745766,1,1,1,1,1,0.2223691736,6.36686940416805E-006,1.42446817369186E-014,8.25810638820067E-016
37,0.2215182059,0.0305861725,1,1,1,1,1,0.2408636148,3.54897286755015E-005,2.33133300887834E-012,2.20358362079001E-013
38,0.2204864621,0.0304380025,1,1,1,1,1,0.2504560213,3.77232673130664E-005,2.33515949880663E-012,2.18160308797855E-013
39,0.2319239946,0.0232141833,1,1,1,1,1,0.0845357269,6.62129772639369E-009,5.89665785005711E-022,8.37685288051927E-024
40,0.2322003369,0.0229695202,1,1,1,1,1,0.0804766735,4.32010610733766E-009,1.95000943333936E-022,2.51817038704274E-024
41,0.2332861757,0.0235379095,1,1,1,1,1,0.078658677,7.45406577935898E-009,1.19763124569225E-021,1.86292543852988E-023
42,0.230609279,0.0274209506,1,1,1,1,1,0.132152552,9.53111874894221E-007,4.30235398198132E-016,2.05063723468822E-017
43,0.2217792514,0.0256476885,1,1,1,1,1,0.1978933115,1.02639340167163E-006,7.45365329035781E-017,2.64022021047891E-018
44,0.2202439599,0.0261773092,1,1,1,1,1,0.2196605989,0.00000218,4.81305328263232E-016,1.98901384290215E-017
45,0.2218793272,0.0289412157,1,1,1,1,1,0.2248269998,1.2696846657319E-005,1.23043156525317E-013,8.83409718132531E-015
46,0.2172320869,0.0281735914,1,1,1,1,1,0.270388084,1.58384883077562E-005,9.50756588933426E-014,6.26696658241409E-015
47,0.2127995595,0.0240038588,1,1,1,1,1,0.2969374503,1.30574611326313E-006,1.47378991764184E-017,3.81755750935944E-019
48,0.2148270326,0.0256961777,1,1,1,1,1,0.2819652841,3.93587775571648E-006,7.86283919659912E-016,3.12869372038788E-017
49,0.217928445,0.0205309725,1,1,1,1,1,0.1912664221,4.6252334657754E-009,2.08483462297523E-024,1.27416305778346E-026
50,0.2100636086,0.0271556362,1,1,1,1,1,0.3554714465,2.52752766056557E-005,8.70618346737342E-014,5.14810960456723E-015
51,0.2108632177,0.0243284256,1,1,1,1,1,0.327609513,2.59519099599564E-006,7.51175387491951E-017,2.21127915822886E-018
52,0.2107858113,0.0219985197,1,1,1,1,1,0.3119618245,2.3760886384568E-007,3.51332851128269E-020,4.7675772850681E-022
53,0.2122606804,0.0200770602,1,1,1,1,1,0.2707053739,1.12564654308754E-008,3.59149571074643E-024,2.00276766896477E-026
54,0.2093405348,0.0146951536,1,1,1,1,1,0.2625120383,5.01203214420799E-014,3.2266590949719E-042,2.38888323751303E-046
55,0.2101383853,0.0171028816,1,1,1,1,1,0.2766614755,5.98328451588341E-011,6.22223253534616E-032,5.33724678583875E-035
56,0.2091677311,0.0170357496,1,1,1,1,1,0.2952379131,7.3645360694679E-011,7.07179320711977E-032,5.93301324746085E-035
57,0.2088871142,0.017980608,1,1,1,1,1,0.3105609155,6.985718143144E-010,9.67448918873491E-029,1.68194136557786E-031
58,0.2076744097,0.0188344847,1,1,1,1,1,0.341832928,5.42501827875882E-009,4.53729373964711E-026,1.42705275172871E-028
59,0.2098523968,0.0221944242,1,1,1,1,1,0.3285526887,3.71927690373471E-007,1.08205191834879E-019,1.61224965302053E-021
60,0.2094294581,0.0178659394,1,1,1,1,1,0.2988226665,4.53325726037516E-010,3.10906755424292E-029,4.90020194007937E-032
61,0.2057564962,0.0166525386,1,1,1,1,1,0.3647905548,1.07117677138797E-010,3.31409623697434E-032,2.26433220082657E-035
62,0.208665302,0.019014898,1,1,1,1,1,0.3242988321,5.49341723259253E-009,7.49214577548613E-026,2.55454994438378E-028
63,0.2085902364,0.0179454064,1,1,1,1,1,0.316080585,7.19104517238636E-010,9.1340459934703E-029,1.56337521800488E-031
64,0.2073832738,0.0169043285,1,1,1,1,1,0.3311397168,1.059817599057E-010,8.40441966063572E-032,6.72200547009019E-035
65,0.2055673842,0.0115941587,1,1,1,1,1,0.3155466054,4.3045260681317E-020,3.8849298371073E-064,1.2246168298156E-070
66,0.2027149026,0.0146956241,1,1,1,1,1,0.4267156045,1.37944668013107E-012,1.373169503968E-039,1.38031657708849E-043
67,0.2016262952,0.0140964541,1,1,1,1,1,0.4540762846,2.81094426202321E-013,2.17520487482126E-042,1.04286038734549E-046
68,0.2016525329,0.0164128838,1,1,1,1,1,0.4599002194,2.94288854310754E-010,8.35870965341849E-032,5.36967367832148E-035
69,0.1997273965,0.0171836176,1,1,1,1,1,0.5063286151,3.24467723138351E-009,1.20919549699441E-028,1.57203973979292E-031
70,0.1969450298,0.0146870836,1,1,1,1,1,0.5823870262,2.0461075749638E-011,2.05239414560656E-037,2.66327841222874E-041
71,0.1967870301,0.0169287945,1,1,1,1,1,0.5752644026,5.41143477034089E-009,1.31430523059048E-028,1.54886271198227E-031
72,0.1972179327,0.014993324,1,1,1,1,1,0.5736026322,4.46370216590741E-011,4.40897912874416E-036,8.10056832252451E-040
73,0.1973535632,0.0178726142,1,1,1,1,1,0.5588570953,2.56016895649742E-008,5.18599958546431E-026,1.19509661546999E-028
74,0.193444251,0.017886681,1,1,1,1,1,0.6430098423,8.74375994230762E-008,5.56592747469514E-025,1.46164532269876E-027
75,0.1920305911,0.0192323511,1,1,1,1,1,0.6607003177,8.54098035553566E-007,1.47044556289474E-021,8.88569040448162E-024
76,0.1864633531,0.0184435976,1,1,1,1,1,0.7685098719,1.37952502398567E-006,5.4639553690077E-022,2.49617281375539E-024
77,0.1891111876,0.0190355877,1,1,1,1,1,0.7163471321,1.42534689539804E-006,2.49771854766023E-021,1.4715898501047E-023
78,0.1885972172,0.0122315997,1,1,1,1,1,0.8243936678,2.18939037742147E-013,1.37776902608242E-048,6.11298414524765E-054
79,0.1878083641,0.0147285955,1,1,1,1,1,0.796094741,1.24767074153718E-009,7.39495755720306E-034,1.53344874365143E-037
80,0.1856346565,0.0148742652,1,1,1,1,1,0.8329241336,4.27511427450497E-009,1.77546152239174E-032,4.78384913041905E-036
81,0.1845913026,0.0166656148,1,1,1,1,1,0.8224078415,1.92936020926258E-007,5.55952715730968E-026,8.18571354890987E-029
82,0.1891047439,0.0157119357,1,1,1,1,1,0.7559826954,7.09210783432497E-009,2.10797285992427E-030,1.15281292087155E-033
