numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,1.2140552076,0.7022998293,0.9999999649,0.86845158,0.6580528755,0.3802623753,0.1546389456,0.0743826552,0.0563361223,0.0432234135,0.0419327402
16,1.1584610926,0.7741380589,0.9999996518,0.8614961057,0.6704608419,0.4189057674,0.1975032386,0.1078393095,0.0857692632,0.0689661301,0.067267845
26,0.888196048,0.181219188,1,0.9999999996,0.9996323192,0.7313675557,0.0160912917,7.30550752582757E-005,6.82530049459405E-006,6.29739912747807E-007,4.76204053575527E-007
36,0.8620178272,0.2758327667,1,0.9999815134,0.989636785,0.6915464281,0.0946834929,0.0081959783,0.0028670788,0.0010045198,0.0008885824
46,0.7172925286,0.1371613191,1,1,0.9999999942,0.9803547365,0.0565728073,8.1161580285614E-005,3.38992139500795E-006,1.25705444786018E-007,0.000000085
56,0.7453093548,0.1348628118,1,1,0.999999989,0.9705216774,0.0344591655,2.63365975178503E-005,8.55227076343301E-007,2.48645109031203E-008,1.63409972107436E-008
66,0.6416066391,0.0773200654,1,1,1,0.999998217,0.0335178542,5.6021784286008E-009,1.23726066030192E-012,1.55828035020302E-016,5.29120554764716E-017
76,0.6468711957,0.0831526159,1,1,1,0.9999891556,0.0386740461,3.84812122561982E-008,2.40474971602247E-011,9.36466227416138E-015,3.64563605772178E-015
86,0.599025668,0.1108359551,1,1,1,0.9998513997,0.1858098477,0.000159019,3.35982336959936E-006,5.35071336608345E-008,3.24738675974009E-008
96,0.5579320834,0.0822713538,1,1,1,0.9999999613,0.2406669971,6.78739867037879E-006,0.000000013,1.36858692263552E-011,5.94227298127024E-012
106,0.5447763277,0.0806680979,1,1,1,0.9999999917,0.2894238717,9.59938336325613E-006,1.75725317726763E-008,1.6859442937296E-011,7.22569862524204E-012
116,0.5438287361,0.0593936288,1,1,1,1,0.2302764699,3.54068307944881E-009,3.92931422667342E-014,1.25908156181886E-019,2.68416590876001E-020
