numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,3.6555482743,4.2644984544,0.6237201828,0.3489279457,0.3066166676,0.2667373669,0.2296628445,0.2088821915,0.2022094388,0.1963143853,0.1956658726
7,2.6856618303,3.8604427707,0.7255804806,0.4295137615,0.3793718134,0.3311826453,0.2856395556,0.259826631,0.2514978274,0.2441242973,0.2433122736
8,2.7771658111,4.3837076608,0.6939461514,0.4296422484,0.3853942167,0.3425908564,0.3017196,0.2783009273,0.2706964187,0.2639422392,0.2631971119
9,2.1528159099,2.4284592381,0.879486582,0.4749122754,0.3940344975,0.3174965474,0.2480614596,0.2106586932,0.1989671621,0.1887865589,0.1876755415
10,2.1258844589,2.4397284012,0.880611132,0.4794246122,0.3987674973,0.3222273399,0.2525712551,0.2149435754,0.2031639785,0.1928991547,0.1917785054
11,2.4037580219,3.7147369785,0.7576937713,0.4567238388,0.4038904105,0.3527565492,0.304154768,0.2765078004,0.2675738575,0.2596596554,0.2587878179
12,2.3144767842,3.7327137629,0.7640699903,0.4664292959,0.4136367844,0.3623627222,0.3134476943,0.2855365762,0.276502953,0.2684943554,0.2676117629
13,2.2376010558,3.7609684986,0.7686753442,0.474813378,0.4222581302,0.3710534845,0.322037456,0.2939865428,0.2848937384,0.2768266903,0.2759373051
14,1.8206426216,3.7528585679,0.8015533915,0.5190590747,0.465955968,0.413453037,0.3624554614,0.3329280607,0.3233007493,0.3147359627,0.3137903328
15,1.9117977928,2.3913434242,0.9017190388,0.5147112341,0.4316387591,0.3514936551,0.2774684538,0.2370478492,0.2243307143,0.2132240828,0.2120101232
16,1.5203649305,1.9958850257,0.9593685145,0.5949557933,0.4959294795,0.3971546484,0.3045934936,0.2541318873,0.2383418,0.2246029884,0.2231046866
17,1.6543513381,1.8783398299,0.962557924,0.5730004004,0.4672540386,0.3637823458,0.2694228776,0.219384129,0.2039730713,0.1906705268,0.1892260647
18,1.4172729849,2.2257622386,0.9462642715,0.6032660707,0.5148244526,0.425644427,0.3401270767,0.2922231597,0.276982198,0.2636066561,0.2621410867
19,1.4497459267,2.2228801382,0.9448829131,0.597755235,0.5090183751,0.4198310291,0.3345952835,0.2869833356,0.2718571399,0.2585914722,0.2571384738
20,1.658414017,2.2215894676,0.9337275936,0.5610995168,0.4715768667,0.3834735009,0.3010319638,0.2557598427,0.2414998692,0.2290443998,0.2276830584
21,1.529173245,2.0176951342,0.9573013944,0.5922547195,0.4942320149,0.3965581075,0.304999911,0.2550255218,0.239373368,0.2257474718,0.2242610477
22,1.0219505322,1.40940561,0.9976174701,0.7561415362,0.6327648762,0.4937869969,0.3555668971,0.2798828744,0.2565103617,0.2363792331,0.2341974043
23,1.0257226576,1.4040497192,0.9976768273,0.7561291557,0.6322401861,0.4926916536,0.3540410687,0.2782323433,0.2548441001,0.234709848,0.2325283071
24,1.4607128558,1.9278212917,0.9668137775,0.6101611911,0.5081294974,0.4055601185,0.3091217721,0.2565696498,0.2401471327,0.2258709533,0.2243148859
25,1.4026926209,1.8107329503,0.9765198539,0.6292510918,0.5214285332,0.4120043483,0.3090576147,0.2532804861,0.2359385168,0.2209074823,0.2192718905
26,1.376940239,1.8249548382,0.9764437449,0.633602924,0.5268809731,0.4181815512,0.3154263223,0.2594912259,0.2420540287,0.2269205004,0.2252725799
27,1.2084144141,1.8415845072,0.980246718,0.6663437662,0.562903222,0.4549473956,0.3502385277,0.2919902429,0.2736267324,0.2576033628,0.2558535479
28,1.1726962793,1.7356664367,0.9862761712,0.6831939676,0.5747871312,0.4603712229,0.3491662756,0.2875976565,0.2682773351,0.2514656673,0.2496326787
29,1.1697194117,1.7370032604,0.9862767578,0.6836734694,0.575401818,0.4610820135,0.3499111884,0.2883295024,0.2689994308,0.2521768286,0.2503425035
30,1.7394994208,2.0510055237,0.9440497182,0.5505342149,0.4535204815,0.3592162268,0.2728096608,0.226444557,0.2120397682,0.1995458177,0.1981854886
31,1.7233664393,2.0658064099,0.9436448712,0.5532634013,0.4569480534,0.363108646,0.2768590019,0.2304335654,0.2159844252,0.203440885,0.2020745002
32,1.9057811834,2.1735242874,0.9227181619,0.5172880981,0.4259507782,0.3384365395,0.2588887855,0.2162855114,0.203041075,0.1915454615,0.1902932546
33,1.8912471841,2.1813942279,0.922939025,0.5198809229,0.4288289017,0.3414284757,0.2618088123,0.2190795474,0.2057810281,0.1942321061,0.192973719
34,1.8500494946,2.2032282677,0.9235981074,0.5271308454,0.4368816041,0.3498149971,0.2700176204,0.2269516482,0.2135070628,0.2018136384,0.2005384701
35,1.8608398972,2.2199018605,0.9213335222,0.5249923252,0.4354372922,0.3490883645,0.2699322043,0.2271820827,0.2138288508,0.2022113543,0.2009442496
36,1.4849088499,2.0188023038,0.9591736783,0.6006951793,0.5029821849,0.4050890398,0.3128217047,0.2622347822,0.2463549191,0.2325160103,0.2310054945
37,1.4492842544,2.0277406978,0.9600330668,0.6070316681,0.50997689,0.4123247516,0.3198391128,0.2689153659,0.252893307,0.2389150163,0.2373883833
38,0.7324353792,1.3121347484,0.9994277913,0.8329860044,0.7207173769,0.5807902361,0.4296980653,0.3424528721,0.3149066464,0.2909607512,0.2883534518
39,0.342361756,0.1264208779,1,1,1,0.9999999014,0.8937887924,0.1300629271,0.0276124681,0.0042816918,0.0033833705
40,0.3681418203,0.1509832159,1,1,1,0.999985739,0.8087583974,0.1327155905,0.0378688446,0.0088445181,0.007378336
41,0.3668895633,0.1508201784,1,1,1,0.999986523,0.8112675989,0.134244992,0.0383979078,0.008982832,0.0074948223
42,0.3646995518,0.1255997635,1,1,1,0.9999997883,0.8593123305,0.0948774319,0.017537803,0.0023710764,0.0018441169
43,0.7418286418,1.3402843289,0.9992561333,0.8260665041,0.7141941606,0.5763734017,0.4284071682,0.3430093147,0.3160137828,0.2925244042,0.2899653247
44,0.7256034335,1.3480823759,0.9992397012,0.827757409,0.7171659897,0.5806457918,0.433546793,0.3483090552,0.3212991041,0.2977680719,0.2952027204
45,0.7022102869,1.3541300648,0.9992478123,0.8310678627,0.7221206597,0.5870302302,0.4406471918,0.355366061,0.3282606395,0.304610939,0.3020305593
46,0.7020719508,1.3533406331,0.9992528592,0.8312344712,0.7222701807,0.5871199863,0.4406531537,0.3553235606,0.3282038338,0.3045423385,0.3019607171
47,0.7040574616,1.3527154474,0.9992528591,0.8309762885,0.7218692641,0.5865879771,0.4400469235,0.3547132678,0.3275993669,0.3039460724,0.3013655299
48,0.7045467733,1.3439447185,0.9993036343,0.8324566153,0.7230343336,0.5870022386,0.4395150702,0.3536732235,0.3264164799,0.3026488919,0.3000565374
49,0.3040295922,0.1429007757,1,1,1,0.9999994429,0.9148708003,0.2333114463,0.0766788824,0.0198152965,0.0166869018
50,0.3033012907,0.142796452,1,1,1,0.9999994668,0.9158174607,0.2347120591,0.0772646572,0.0199887344,0.0168345956
51,0.3028128169,0.1430712027,1,1,1,0.9999994504,0.9159361853,0.2361897206,0.0781588131,0.0203475564,0.0171503758
52,0.3037473626,0.1412152411,1,1,1,0.9999995898,0.9176962592,0.2312686053,0.0745364015,0.0187563822,0.0157399503
53,0.2619004846,0.0841764766,1,1,1,1,0.9976622161,0.2310584356,0.0272183093,0.0013833853,0.0009312451
54,0.2556717896,0.0776201202,1,1,1,1,0.9991773193,0.2366148608,0.0224516195,0.0007752737,0.0004940637
55,0.2622911701,0.0849024095,1,1,1,1,0.9974431988,0.2315720019,0.0279700164,0.0014815364,0.0010030579
56,0.2572800146,0.0823047377,1,1,1,1,0.9984061878,0.243229948,0.0280056781,0.0013303316,0.000886176
57,0.2590820885,0.089669957,1,1,1,1,0.9963921107,0.2549851716,0.03802458,0.0027367075,0.0019305929
58,0.2601839873,0.0884912618,1,1,1,1,0.9966363775,0.2482167083,0.0351349246,0.0023477259,0.0016398839
59,0.2598069533,0.0888470544,1,1,1,1,0.9965687507,0.2504275136,0.0360350728,0.0024643937,0.0017266891
60,0.2599975517,0.0883006144,1,1,1,1,0.996716263,0.2484202945,0.0349958646,0.0023186157,0.0016175983
61,0.263403263,0.0835021573,1,1,1,1,0.997697363,0.2238362902,0.0251810981,0.0012039103,0.0008040085
62,0.2659422136,0.0819672226,1,1,1,1,0.9978515754,0.210555603,0.0214596347,0.0008966268,0.0005882962
63,0.2663075711,0.082094327,1,1,1,1,0.9977907873,0.2096317107,0.0213920903,0.0008977972,0.0005894807
64,0.2598714363,0.0767921714,1,1,1,1,0.9991169786,0.217796849,0.0186771024,0.0005692298,0.0003570761
65,0.2554191357,0.0680183364,1,1,1,1,0.9998383067,0.2076026794,0.0111576049,0.0001542048,8.66184425679983E-005
66,0.2366571372,0.0597365821,1,1,1,1,0.9999947932,0.2697245152,0.0110785924,7.40371592470854E-005,3.72123447720334E-005
67,0.2342193892,0.0593829955,1,1,1,1,0.999996192,0.2822234591,0.0119034057,7.97416739880632E-005,4.00306560486603E-005
68,0.2338268902,0.0602999994,1,1,1,1,0.9999949296,0.2874067357,0.0132314124,0.0001028592,5.27186306123389E-005
69,0.2333702487,0.0602883042,1,1,1,1,0.9999951235,0.2899567235,0.0134761597,0.000105681,5.42162059003597E-005
70,0.233392952,0.0594599947,1,1,1,1,0.9999963338,0.2871930354,0.0124352993,8.59711296119503E-005,4.33270960372418E-005
71,0.2248151426,0.0264506553,1,1,1,1,1,0.1740791931,1.18624574966454E-006,2.30505046928288E-016,9.5272823067608E-018
72,0.2248461682,0.0268474341,1,1,1,1,1,0.1773639039,0.000001658,6.09668977522229E-016,2.76214799139098E-017
73,0.2262196664,0.0272181615,1,1,1,1,1,0.167694705,1.76467162885387E-006,9.79226681162022E-016,4.7309703738137E-017
74,0.2232294627,0.0229020035,1,1,1,1,1,0.1552202232,3.70925076342587E-008,6.36066025706149E-021,9.48517044467707E-023
75,0.2231192861,0.0226044437,1,1,1,1,1,0.1532068465,2.56586034362394E-008,2.08587119918057E-021,2.79165023744379E-023
76,0.2211942141,0.0221832797,1,1,1,1,1,0.1696842102,2.33663960370358E-008,8.62374990721461E-022,1.01862356397767E-023
77,0.2208001106,0.0220195506,1,1,1,1,1,0.1724264252,2.05523233899884E-008,5.17654613573048E-022,5.77254994601027E-024
78,0.2265543156,0.036123491,1,1,1,1,1,0.2311398254,0.0002296968,0.000000001,1.78607514241088E-010
79,0.2256969942,0.0360824085,1,1,1,1,1,0.2381781655,0.000247351,1.13016884357077E-009,1.98703988268801E-010
80,0.2257014975,0.0357546517,1,1,1,1,1,0.236122997,0.0002193243,8.05597581918157E-010,1.37275309780825E-010
81,0.2265077462,0.035505164,1,1,1,1,1,0.2276560045,0.0001832643,5.37278360000715E-010,8.87918559050043E-011
