numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,1.4066681243,0.7609993479,0.9999988315,0.7822087887,0.548805428,0.2965369212,0.1167448158,0.0564109282,0.0429857153,0.0332300397,0.032268742
13,1.1412503658,0.8537825178,0.9999969021,0.8427483829,0.662826139,0.4342985659,0.2263052892,0.1351335946,0.1113133359,0.0925878036,0.0906604297
20,0.8266115834,0.6327984016,1,0.9681507826,0.8563681909,0.6079586938,0.302878859,0.1610325465,0.1254324198,0.098442601,0.0957287619
27,0.4604651162,0.1547290545,1,1,1,0.9997557329,0.600835547,0.0461524514,0.0099122304,0.0017995512,0.0014604374
34,0.4351937983,0.1935266321,1,1,0.9999999812,0.9982413635,0.6311383033,0.1121249769,0.0416341724,0.0140073103,0.0122640741
41,0.4016503328,0.1356128084,1,1,1,0.9999948835,0.7658426979,0.068513164,0.0130624569,0.0019384747,0.0015295133
48,0.3573020144,0.1790669592,1,1,0.9999999999,0.9998341204,0.7872446755,0.1898488047,0.075372649,0.0262196828,0.0230021296
55,0.2745498607,0.1182645452,1,1,1,0.9999999996,0.9716956887,0.2642278174,0.0699817164,0.0126453606,0.010130229
62,0.2055182928,0.0840064471,1,1,1,1,0.9997720953,0.473812747,0.1045446168,0.0099714587,0.0072133688
69,0.2316732771,0.1279374244,1,1,1,0.999999999,0.9820177183,0.4022341402,0.1516927045,0.0415772116,0.0350833731
76,0.2229341631,0.1206456972,1,1,1,0.9999999999,0.9891770539,0.4246172813,0.1541089645,0.0387857086,0.0323126155
83,0.2074074262,0.1295286907,1,1,1,0.9999999995,0.9880552485,0.4771979048,0.2034907396,0.0637488579,0.0546611124
90,0.1865136536,0.1009849748,1,1,1,1,0.999046309,0.5531200168,0.1958058288,0.0402389436,0.0323775852
97,0.1676931801,0.0764043593,1,1,1,1,0.9999931719,0.6637940023,0.18781258,0.0195122198,0.0140885547
104,0.13845861,0.051945474,1,1,1,1,1,0.8819380002,0.2295392805,0.0067001265,0.003844148
111,0.1509520912,0.0928405359,1,1,1,1,0.9999149243,0.7013553823,0.2915669008,0.0644798363,0.0519824127
118,0.120380122,0.0674261489,1,1,1,1,0.999999991,0.881167987,0.3812275318,0.0508097867,0.0371012634
125,0.1237587914,0.0653190357,1,1,1,1,0.9999999958,0.8784377601,0.3580281124,0.0407903581,0.0290672818
132,0.1250514104,0.0993524043,1,1,1,1,0.9999196507,0.7746868112,0.4004637222,0.1234292945,0.1040756492
139,0.1168803246,0.0648855643,1,1,1,1,0.9999999982,0.8999065977,0.3973719844,0.0497571686,0.0358254275
146,0.1164002555,0.0801929919,1,1,1,1,0.9999991385,0.8514058494,0.418977554,0.0922870253,0.0733201194
153,0.1063577146,0.0446290661,1,1,1,1,1,0.9820578211,0.4433595945,0.0154219888,0.0085826224
160,0.0957200887,0.0119963633,1,1,1,1,1,1,0.6393670283,4.48324116842096E-013,7.37067222141463E-016
167,0.0914051673,0.0049389534,1,1,1,1,1,1,0.9590892204,2.46007627239461E-061,9.06754810600382E-077
174,0.0909895992,0.004880925,1,1,1,1,1,1,0.9675570683,3.90998176055587E-062,7.34970832860474E-078
181,0.0911447539,0.0049797225,1,1,1,1,1,1,0.9623194966,5.35210166877751E-060,3.90290443834861E-075
188,0.0913534374,0.0054430896,1,1,1,1,1,1,0.9439177973,8.24624938174417E-051,1.61462715838377E-063
195,0.0907116672,0.0049077745,1,1,1,1,1,1,0.9707928143,4.50371842828415E-061,1.40821875805157E-076
202,0.0896420416,0.004105859,1,1,1,1,1,1,0.9941775493,4.07699324937639E-084,5.67408304931904E-106
209,0.0894402185,0.0037641399,1,1,1,1,1,1,0.9974870087,3.61721738963187E-099,4.21529704185132E-125
216,0.0888978029,0.0034455114,1,1,1,1,1,1,0.9993639938,2.39229074238128E-116,4.31516951492861E-147
223,0.089192499,0.0041387892,1,1,1,1,1,1,0.9954896835,6.55140960241445E-082,2.62545413287919E-103
230,0.0893242327,0.0042340532,1,1,1,1,1,1,0.9941556559,1.28750439769417E-078,4.27096453768926E-099
237,0.087979151,0.0040625433,1,1,1,1,1,1,0.9984565373,2.05066217899848E-082,2.65788962369264E-104
244,0.0887380339,0.00416784,1,1,1,1,1,1,0.9965549614,6.66022774931107E-080,6.85867307365724E-101
251,0.0874155833,0.0039010197,1,1,1,1,1,1,0.9993721798,6.09118665133247E-088,1.62995123661769E-111
258,0.0877205302,0.0035857,1,1,1,1,1,1,0.99969211,1.7610249651009E-104,1.78606234582812E-132
265,0.0877180978,0.0030426801,1,1,1,1,1,1,0.9999728775,3.31371458296284E-144,4.61601561902478E-183
272,0.0865317525,0.0027419966,1,1,1,1,1,1,0.9999995489,9.82169498777751E-172,6.97758021687635E-219
279,0.0865557158,0.0026026712,1,1,1,1,1,1,0.9999998801,1.80307504421974E-190,8.22315553791744E-243
286,0.0859134113,0.0030190272,1,1,1,1,1,1,0.9999984639,8.01610229888614E-140,1.97811600836894E-178
293,0.085823207,0.0031134526,1,1,1,1,1,1,0.9999973607,2.66690376788179E-131,1.45128149983092E-167
300,0.0856197374,0.0027829251,1,1,1,1,1,1,0.9999998813,6.81818777592004E-163,3.72470057105538E-208
307,0.085801013,0.0025053149,1,1,1,1,1,1,0.9999999928,2.16975772688197E-201,2.36794494186774E-257
314,0.085988686,0.0027646585,1,1,1,1,1,1,0.999999799,1.29984986645509E-166,1.10292541967048E-212
321,0.0857443883,0.0031659199,1,1,1,1,1,1,0.9999966473,8.42958846994574E-127,7.6897655486791E-162
328,0.0850004196,0.0023848988,1,1,1,1,1,1,0.9999999998,2.23161713408135E-217,1.61832751695371E-278
335,0.0853852829,0.0024815755,1,1,1,1,1,1,0.9999999981,5.36455525216849E-203,9.67425546070409E-260
342,0.0854696645,0.0026158817,1,1,1,1,1,1,0.9999999861,2.49242990057576E-183,1.86637414180301E-234
349,0.0852517636,0.0030790479,1,1,1,1,1,1,0.9999991655,3.21858814958271E-132,4.90972588478365E-169
356,0.0856065143,0.002880059,1,1,1,1,1,1,0.9999997098,3.41543922314824E-152,1.88722658705547E-194
363,0.0844158898,0.0025754605,1,1,1,1,1,1,0.9999999993,7.05889197466407E-184,6.26122124220884E-236
370,0.0845804139,0.0028505601,1,1,1,1,1,1,0.9999999684,3.46665569540175E-151,8.95373833477726E-194
377,0.0845706259,0.0029112686,1,1,1,1,1,1,0.9999999421,5.2618298278503E-145,7.82787657636322E-186
384,0.0842049793,0.0026844603,1,1,1,1,1,1,0.999999998,1.72117585286776E-168,2.80283058597998E-216
391,0.0840817405,0.002269759,1,1,1,1,1,1,1,5.81634581001742E-234,1.10730681249181E-300
398,0.0838917661,0.0023277374,1,1,1,1,1,1,1,1.9192659679892E-221,9.87394755596089E-285
405,0.0836253107,0.0024706106,1,1,1,1,1,1,1,1.92715220053571E-195,1.9395463971569E-251
412,0.0835558087,0.0023261443,1,1,1,1,1,1,1,9.39596452765753E-220,7.3632405265087E-283
419,0.0834318655,0.0024055626,1,1,1,1,1,1,1,5.91400758996331E-205,7.13486190886491E-264
426,0.0832950295,0.0024764107,1,1,1,1,1,1,1,8.09761259797816E-193,2.55004920283493E-248
433,0.0833425907,0.0025188339,1,1,1,1,1,1,1,1.07232875781497E-186,2.22829603388135E-240
440,0.0830555705,0.0025266869,1,1,1,1,1,1,1,4.02927049758246E-184,2.82324558039171E-237
447,0.0829067957,0.0026937608,1,1,1,1,1,1,0.9999999999,1.26989340520711E-161,2.63411768318092E-208
454,0.0827223358,0.0025793988,1,1,1,1,1,1,1,3.51059551264563E-175,5.70484564858645E-226
461,0.082521492,0.0025611055,1,1,1,1,1,1,1,1.08309655214016E-176,4.47738042041646E-228
468,0.0824008573,0.0025829244,1,1,1,1,1,1,1,3.4457810883229E-173,1.24622579117203E-223
475,0.0824912997,0.0022914255,1,1,1,1,1,1,1,5.92702486195037E-220,4.18382648870257E-284
482,0.0822849572,0.0022989418,1,1,1,1,1,1,1,2.6402435532443E-217,7.2146644234522E-281
489,0.0825978444,0.0022257853,1,1,1,1,1,1,1,1.18765665874527E-233,9.86080430158972E-302
496,0.0821203494,0.0022048837,1,1,1,1,1,1,1,5.74666589711618E-235,6.44214924454919E-304
503,0.082429637,0.0020589283,1,1,1,1,1,1,1,2.14543527689197E-271,0
510,0.0820827267,0.0023114504,1,1,1,1,1,1,1,8.49281528505555E-214,1.64192573340147E-276
517,0.0819682413,0.0024091434,1,1,1,1,1,1,1,2.20968469020746E-196,4.95247965340975E-254
524,0.0817303243,0.0020639519,1,1,1,1,1,1,1,6.05651345425401E-265,0
531,0.0814147255,0.0021198068,1,1,1,1,1,1,1,4.15177238981922E-249,5E-323
538,0.081244094,0.0016226306,1,1,1,1,1,1,1,0,0
545,0.0814637911,0.0019759093,1,1,1,1,1,1,1,9.8586830573822E-287,0
552,0.0815499066,0.0021992387,1,1,1,1,1,1,1,1.76624535630824E-232,2.84664932475124E-301
559,0.0817198098,0.0023089828,1,1,1,1,1,1,1,4.02529276956913E-212,1.1284202791353E-274
566,0.0817513972,0.0026120138,1,1,1,1,1,1,1,2.01754172312376E-166,2.4665637498149E-215
573,0.0817103028,0.0025087076,1,1,1,1,1,1,1,5.22662415161585E-180,5.33651791153235E-233
580,0.0815204325,0.0022685404,1,1,1,1,1,1,1,1.84908176266191E-218,4.31106750738145E-283
587,0.0814722105,0.002336794,1,1,1,1,1,1,1,9.51647205955974E-206,1.26362225936578E-266
594,0.0814733245,0.0024647725,1,1,1,1,1,1,1,3.49257181906866E-185,6.56838711599759E-240
601,0.0813068227,0.0024066125,1,1,1,1,1,1,1,3.11192358077119E-193,1.65118137650434E-250
608,0.0807994284,0.0019781308,1,1,1,1,1,1,1,7.60229039211319E-281,0
615,0.0807705269,0.0021422194,1,1,1,1,1,1,1,1.23267669059596E-239,2.12491456476037E-311
622,0.0807800537,0.0021616723,1,1,1,1,1,1,1,1.89758689932606E-235,6.1745814731391E-306
629,0.0808374017,0.0019244888,1,1,1,1,1,1,1,6.76848338221506E-297,0
636,0.080704242,0.0020205571,1,1,1,1,1,1,1,1.46545093714412E-268,0
643,0.0805420148,0.0022303511,1,1,1,1,1,1,1,7.55986232609094E-220,7.40073018142157E-286
650,0.0804205616,0.0020888548,1,1,1,1,1,1,1,1.89450948621681E-249,0
657,0.0803875847,0.0019494966,1,1,1,1,1,1,1,9.29010528803852E-286,0
664,0.0806766451,0.0020567993,1,1,1,1,1,1,1,4.59110895643821E-259,0
671,0.0803985533,0.0021512691,1,1,1,1,1,1,1,3.53604685845902E-235,5.44270995984153E-306
678,0.0804670701,0.0021518175,1,1,1,1,1,1,1,1.63710119840749E-235,2.36166045085001E-306
685,0.0804022224,0.0021175162,1,1,1,1,1,1,1,1.10744168569001E-242,9.00396462983984E-316
692,0.0802460486,0.0021598939,1,1,1,1,1,1,1,2.52913597323654E-232,1.97727796426358E-302
699,0.0803526918,0.0023150429,1,1,1,1,1,1,1,3.79550703019942E-203,2.88741306919017E-264
706,0.0802453313,0.0023091306,1,1,1,1,1,1,1,1.46323650686462E-203,6.6196112084187E-265
713,0.0802780184,0.0023294228,1,1,1,1,1,1,1,2.95745888607042E-200,1.45686195728909E-260
720,0.0799726572,0.0021844074,1,1,1,1,1,1,1,1.90644333586341E-225,9.66732488977025E-294
727,0.0800651142,0.002286467,1,1,1,1,1,1,1,1.61812046549654E-206,6.2104234884445E-269
734,0.079888019,0.0021643802,1,1,1,1,1,1,1,4.818967553909E-229,1.57684341358678E-298
741,0.0795328793,0.0021640749,1,1,1,1,1,1,1,8.26108781490109E-227,5.51243263257587E-296
748,0.0794985655,0.0020818589,1,1,1,1,1,1,1,1.21243957307217E-244,2.37361660079051E-319
755,0.079750908,0.0021329906,1,1,1,1,1,1,1,7.55930478639926E-235,2.92171473126116E-306
762,0.0796797396,0.0020353518,1,1,1,1,1,1,1,3.67893983192248E-257,0
769,0.0796194008,0.0019079033,1,1,1,1,1,1,1,7.98750323606034E-292,0
776,0.0796474607,0.001892332,1,1,1,1,1,1,1,7.65185885941857E-297,0
783,0.0796392587,0.0018880436,1,1,1,1,1,1,1,4.11764702315286E-298,0
790,0.0790722915,0.0016802221,1,1,1,1,1,1,1,0,0
797,0.0788263441,0.0017808075,1,1,1,1,1,1,1,0,0
804,0.0783932246,0.0016979775,1,1,1,1,1,1,1,0,0
811,0.0785310786,0.0021756148,1,1,1,1,1,1,1,4.39315588771348E-218,1.30843877492072E-285
818,0.0786600426,0.002287906,1,1,1,1,1,1,1,3.63436105989944E-198,2.44119419159809E-259
825,0.0785470845,0.0021684796,1,1,1,1,1,1,1,1.31733901078376E-219,1.36202329910677E-287
832,0.0783300042,0.0020698623,1,1,1,1,1,1,1,2.74474980022817E-239,1.11182189456822E-313
839,0.0783218333,0.0019212779,1,1,1,1,1,1,1,2.8469903961444E-277,0
846,0.0781306234,0.0017838846,1,1,1,1,1,1,1,1.89120553359684E-319,0
853,0.0783377421,0.0017575585,1,1,1,1,1,1,1,0,0
860,0.0782172142,0.0017585083,1,1,1,1,1,1,1,0,0
867,0.07805147,0.0018835261,1,1,1,1,1,1,1,3.85885428421453E-286,0
874,0.0780191522,0.0017203052,1,1,1,1,1,1,1,0,0
881,0.0779755164,0.0017156581,1,1,1,1,1,1,1,0,0
888,0.0778806495,0.0014348432,1,1,1,1,1,1,1,0,0
895,0.0779985266,0.0013493926,1,1,1,1,1,1,1,0,0
902,0.0779511921,0.0012992812,1,1,1,1,1,1,1,0,0
909,0.0777384336,0.001346882,1,1,1,1,1,1,1,0,0
916,0.0776931027,0.0014397673,1,1,1,1,1,1,1,0,0
923,0.0776896055,0.0013905786,1,1,1,1,1,1,1,0,0
930,0.0778119255,0.0015232982,1,1,1,1,1,1,1,0,0
937,0.0777801107,0.0015132816,1,1,1,1,1,1,1,0,0
944,0.0775209706,0.0015001294,1,1,1,1,1,1,1,0,0
951,0.0774132623,0.0015387489,1,1,1,1,1,1,1,0,0
958,0.0773629622,0.001422883,1,1,1,1,1,1,1,0,0
965,0.0771626581,0.001471564,1,1,1,1,1,1,1,0,0
972,0.0771407385,0.0015385041,1,1,1,1,1,1,1,0,0
979,0.0771868538,0.0015698403,1,1,1,1,1,1,1,0,0
986,0.077061975,0.0016443909,1,1,1,1,1,1,1,0,0
993,0.0768093287,0.0013217967,1,1,1,1,1,1,1,0,0
1000,0.0766178493,0.0010786581,1,1,1,1,1,1,1,0,0
1007,0.0765421478,0.0011138504,1,1,1,1,1,1,1,0,0
1014,0.0765291167,0.0012116597,1,1,1,1,1,1,1,0,0
