numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,7.5153536845,5.6873798983,0.3291471618,0.1660848142,0.1451036566,0.1259843055,0.1086956027,0.0991791004,0.0961464608,0.0934758682,0.0931825515
7,6.9495620681,4.9405095629,0.3465662932,0.1582122967,0.1350056709,0.1142483041,0.0958707314,0.0859432465,0.0828111748,0.0800664447,0.0797657708
8,4.6540959608,3.3084373708,0.5416343832,0.2112127381,0.1702065978,0.1346929425,0.1046293097,0.0891054883,0.0843319512,0.0802021913,0.0797529326
9,3.872287924,3.6366234256,0.621757037,0.3033315778,0.257093325,0.2148156447,0.1768820415,0.1562938742,0.1497968514,0.1441057436,0.1434825193
10,3.154625591,4.1565981089,0.6714652146,0.3905900898,0.3452885328,0.3021026026,0.2615242111,0.238595468,0.2312044749,0.2246632646,0.2239429998
11,2.1228857836,3.0182596799,0.8297647812,0.4837619028,0.4182499767,0.3549349316,0.295395801,0.262034975,0.2513600683,0.2419528922,0.2409195683
12,2.3314726289,3.0466595121,0.8094540799,0.456681073,0.3924600918,0.3310458643,0.273872964,0.2420855332,0.2319522954,0.2230380261,0.2220597396
13,2.1472381055,3.0611707178,0.8243106998,0.4808188206,0.4162739909,0.3539153803,0.2952515095,0.2623527047,0.251819127,0.2425333443,0.2415131615
14,1.4524719939,1.6123449831,0.9861046701,0.6329154236,0.5117581447,0.3894971919,0.277348294,0.2186379472,0.2007843318,0.1854891711,0.1838355209
15,1.0992576663,0.7143585653,0.9999999763,0.8963294824,0.7125951137,0.4447461886,0.20076968,0.1040454478,0.0809337738,0.0636538443,0.0619261024
16,0.9665751648,0.8007928561,0.9999997633,0.9015618025,0.7473330776,0.5166468881,0.2800673252,0.1692154377,0.1395937243,0.1161343619,0.1137116987
17,1.1792050084,0.9069125426,0.9999873983,0.8172787382,0.6382264135,0.42167941,0.2269526902,0.1401350638,0.1170277287,0.0986617228,0.0967591653
18,1.0692516478,0.8364448236,0.9999986951,0.867090648,0.6967148299,0.4670081287,0.2480746852,0.1493508102,0.1232738827,0.1026896779,0.1005667291
19,0.9148292579,0.768886053,0.9999999461,0.9209299347,0.7766902868,0.5441012686,0.2947641155,0.1762646,0.1446285049,0.1196365937,0.117060298
20,0.7723515027,0.6842026745,0.9999999997,0.9636154435,0.8562220206,0.6303274963,0.3452941719,0.2014302776,0.1628827597,0.1325926598,0.129483853
21,0.7847949009,0.5636747518,1,0.9844527872,0.8977484093,0.6486912445,0.3066927291,0.1497587423,0.1122067034,0.0846366632,0.0819183247
22,0.7138689281,0.5828012103,1,0.9863363039,0.9113128429,0.6882720175,0.3568217423,0.1889634508,0.1461000247,0.1135747677,0.1103078321
23,0.7237367264,0.5231906299,1,0.9926438538,0.9310570903,0.7012626833,0.3344569777,0.1584028213,0.1165955912,0.0862522933,0.0832843611
24,0.758732162,0.5895989784,1,0.9823663004,0.8956667569,0.6588060022,0.3303933177,0.1716543972,0.1319427438,0.1020599999,0.0990713021
25,0.7060287078,0.6038273488,1,0.9839414084,0.9057278849,0.6868164783,0.3664747561,0.2010054045,0.157774715,0.1245178169,0.1211502667
26,0.6606114058,0.624482743,1,0.9840154517,0.910547498,0.7065974074,0.3985156257,0.2303822164,0.1846670986,0.1487428196,0.1450610639
27,0.8147193392,0.7858796976,0.9999999497,0.9342510775,0.8083935776,0.5931913669,0.3444060794,0.2170469372,0.1815559677,0.1529240898,0.1499384817
28,0.8152599309,0.7804378805,0.9999999589,0.9354985125,0.8098596834,0.5935604132,0.3431237783,0.215245357,0.1797061782,0.1510816711,0.1480996384
29,0.5866980961,0.6010448455,1,0.9906487533,0.9356846399,0.7541599432,0.4426532527,0.2599899319,0.2090409654,0.1686553168,0.1644999445
30,0.4171133104,0.2579270504,1,0.9999999996,0.9999865609,0.9880859519,0.6260301062,0.1999604622,0.1094480086,0.0572363145,0.0529202001
31,0.4034261617,0.2638586495,1,0.9999999993,0.9999838005,0.9881191313,0.6428196859,0.2203634142,0.1250807438,0.0679743222,0.0631386643
32,0.327836173,0.2435165647,1,1,0.9999992584,0.9971120422,0.7602137189,0.2998059027,0.1747373929,0.0959135285,0.0891096301
33,0.2914297348,0.135825449,1,1,1,0.999999909,0.9376787668,0.2504286645,0.0793613483,0.0191329251,0.0159516734
34,0.2727761459,0.1243832805,1,1,1,0.9999999975,0.9661353656,0.2792416219,0.0824068785,0.0173161225,0.0141526435
35,0.2847983565,0.1321586162,1,1,1,0.9999999688,0.9482755841,0.2605532269,0.0810104048,0.0187945639,0.0155819419
36,0.2752692083,0.1267399648,1,1,1,0.9999999946,0.9618992641,0.2762938714,0.083347147,0.0181737103,0.014930806
37,0.2736077367,0.1266255804,1,1,1,0.9999999952,0.9631029016,0.2805183772,0.0851824732,0.0186808748,0.0153568661
38,0.2527382147,0.1026001431,1,1,1,1,0.9920227681,0.3036200628,0.068286554,0.008993971,0.0068826196
39,0.2775252422,0.1033936565,1,1,1,1,0.9842905062,0.2266856077,0.042991058,0.0048345529,0.0036356018
40,0.2759810999,0.1016676908,1,1,1,1,0.9862182086,0.2274268977,0.0417308585,0.004445968,0.0033183857
41,0.2718088177,0.1065577342,1,1,1,1,0.9838822971,0.2501887568,0.053442435,0.0070057813,0.0053736038
42,0.2663761197,0.1046190151,1,1,1,1,0.9872285593,0.2628917681,0.055883061,0.0071315303,0.0054458569
43,0.2621059561,0.1044645189,1,1,1,1,0.9886149832,0.2760831119,0.0603574308,0.007904041,0.0060529396
44,0.2664249396,0.1038762622,1,1,1,1,0.9877306837,0.2612611596,0.0545616624,0.0067828674,0.0051613204
45,0.2624680254,0.1029713695,1,1,1,1,0.9894663692,0.2720401739,0.0573060066,0.0071066409,0.0054025169
46,0.2644267216,0.1040321198,1,1,1,1,0.9882261081,0.267860544,0.0569918525,0.007229455,0.0055144845
47,0.22681764,0.0919358276,1,1,1,1,0.9985179957,0.3852581748,0.0838834515,0.0091779783,0.0068100446
48,0.2482879955,0.1071097382,1,1,1,1,0.9906142644,0.3260570071,0.0831104705,0.0130503908,0.0102227269
49,0.2439619127,0.1065031834,1,1,1,1,0.9918925368,0.3398855241,0.0882333091,0.0140188024,0.0109917248
50,0.242197214,0.1051680604,1,1,1,1,0.9928837489,0.3441231818,0.0881724552,0.0136267318,0.0106407134
51,0.2464538189,0.1044467585,1,1,1,1,0.9923986926,0.3282463301,0.0804298036,0.0117910747,0.0091470302
52,0.228207378,0.0909607816,1,1,1,1,0.9985960435,0.3782406187,0.0793466814,0.0082218176,0.006056166
53,0.2264761365,0.0913549443,1,1,1,1,0.9986236239,0.3859784531,0.083110716,0.0089032845,0.0065861039
54,0.1992376415,0.0444726443,1,1,1,1,1,0.5068384089,0.0128262935,1.04455833220621E-005,3.73207532984003E-006
55,0.199615807,0.0447908846,1,1,1,1,1,0.5034218786,0.0130735615,1.15114272970746E-005,4.16316297585189E-006
56,0.1957512523,0.0393669256,1,1,1,1,1,0.5429731349,0.007502122,1.18818512894632E-006,3.30508880360725E-007
57,0.2051166674,0.0480562556,1,1,1,1,0.9999999996,0.4576037555,0.0143578718,2.45182806675166E-005,9.85011354477226E-006
58,0.2038060974,0.0473293998,1,1,1,1,0.9999999998,0.4679527273,0.014144008,2.11234296907598E-005,8.30712999013947E-006
59,0.2038630551,0.0472012619,1,1,1,1,0.9999999998,0.4673860988,0.0138882139,2.00278348896764E-005,7.83628359347281E-006
60,0.1991138758,0.0449984107,1,1,1,1,1,0.5078556013,0.013811182,1.31887258340762E-005,4.82414570759026E-006
61,0.1931525519,0.0388350566,1,1,1,1,1,0.5699792399,0.0082273297,1.20165521051461E-006,3.28494460175587E-007
62,0.187889832,0.0323701973,1,1,1,1,1,0.6458405238,0.0033123217,1.94822506679522E-008,3.22969096483443E-009
63,0.1870671044,0.0313324466,1,1,1,1,1,0.660110114,0.0027278708,0.000000008,1.18339422198181E-009
64,0.1840149458,0.0302715485,1,1,1,1,1,0.7012695526,0.0027568914,4.5028562300398E-009,6.05394302954268E-010
65,0.1865940949,0.0312812785,1,1,1,1,1,0.6658782746,0.0028179944,8.24177318005281E-009,1.2228665073357E-009
66,0.1899962502,0.0262018431,1,1,1,1,1,0.6486935287,0.0002965725,3.21904956540112E-012,2.06463466515344E-013
67,0.1838187962,0.0280913005,1,1,1,1,1,0.7176998044,0.0014234683,3.05362044803909E-010,3.00236279326518E-011
68,0.1832598913,0.0282227107,1,1,1,1,1,0.7234573366,0.0015883423,4.15150788630174E-010,4.19746425088443E-011
69,0.1804295316,0.0267803982,1,1,1,1,1,0.7675419631,0.0013353514,9.83051292271883E-011,8.0637902799839E-012
70,0.1828476946,0.0276112568,1,1,1,1,1,0.7327682751,0.0013476648,1.92433891339089E-010,1.76927253349809E-011
71,0.1803707537,0.0265922807,1,1,1,1,1,0.7697901112,0.0012541682,7.4315057969834E-011,5.89246837039274E-012
72,0.1805035585,0.0269217844,1,1,1,1,1,0.7655249327,0.0013936286,1.19991317010236E-010,1.00882801510274E-011
73,0.1818991374,0.0276147094,1,1,1,1,1,0.7439203038,0.0015095846,2.40913112369003E-010,2.24343898068261E-011
74,0.1832057768,0.024498768,1,1,1,1,1,0.7534898604,0.0003414861,7.74785351250119E-013,3.76843816325145E-014
75,0.1789444075,0.0263356729,1,1,1,1,1,0.7880021699,0.0013604721,7.03927307237203E-011,5.42489149805534E-012
76,0.1785921404,0.0278664586,1,1,1,1,1,0.778824831,0.0023988401,7.24218577399354E-010,7.33074531592101E-011
77,0.177595511,0.0260187171,1,1,1,1,1,0.8054060996,0.0014304771,5.92100080033289E-011,4.37540326678839E-012
78,0.1773086578,0.026075963,1,1,1,1,1,0.8079048529,0.0015146551,6.98578111838955E-011,5.24195627090507E-012
79,0.1775224976,0.0258923893,1,1,1,1,1,0.8073335784,0.0013766105,4.90172589279664E-011,3.53667982990161E-012
80,0.1776799161,0.0253716201,1,1,1,1,1,0.8104962261,0.0011004736,1.93520113061494E-011,1.25182702100528E-012
81,0.1774726317,0.0252795072,1,1,1,1,1,0.8135707186,0.0010896546,1.73815000181653E-011,1.10605106504028E-012
82,0.1773967288,0.0249010453,1,1,1,1,1,0.8179879142,0.0009412427,8.93298665111653E-012,5.23938203727457E-013
83,0.1742529832,0.0230337014,1,1,1,1,1,0.8681732822,0.0006328024,4.98265317948101E-013,1.93736030239313E-014
84,0.1750161987,0.0232465167,1,1,1,1,1,0.8587528828,0.0006255065,6.30433982910271E-013,2.56227349452489E-014
85,0.1756323666,0.0236363491,1,1,1,1,1,0.8487152791,0.0006875365,1.21283177518646E-012,5.40511717924916E-014
86,0.1745371262,0.023576939,1,1,1,1,1,0.8599268293,0.0007849503,1.48928571671113E-012,6.66337192147514E-014
87,0.1744608015,0.0235762011,1,1,1,1,1,0.860653887,0.0007934509,1.52162204018439E-012,6.81594089383929E-014
88,0.1741602988,0.0232084515,1,1,1,1,1,0.8672262177,0.0006981845,7.56469342130777E-013,3.09081657705505E-014
89,0.1775794272,0.0223298898,1,1,1,1,1,0.8423254086,0.00025615,3.07815272773004E-014,9.13600741700004E-016
90,0.1748742925,0.0217596869,1,1,1,1,1,0.8758914405,0.0002898232,1.76746716492269E-014,4.61759835279329E-016
91,0.1710862064,0.0220019972,1,1,1,1,1,0.9056011333,0.0006170101,1.22665991723936E-013,3.74446487997544E-015
92,0.1708846506,0.0219109944,1,1,1,1,1,0.9080431696,0.0006079625,1.04706830051057E-013,3.11907492077402E-015
93,0.1648354994,0.0142570359,1,1,1,1,1,0.9931773245,2.71287344977442E-006,8.90942825395027E-028,3.22122275382045E-031
94,0.1680267511,0.0183762008,1,1,1,1,1,0.9590640866,0.0001069979,4.0020446432845E-018,3.01713537824927E-020
95,0.1671358914,0.0192134556,1,1,1,1,1,0.956410834,0.0002377315,1.43783647617962E-016,1.67561245817838E-018
96,0.1634072098,0.0144359105,1,1,1,1,1,0.9943751396,5.60724559978736E-006,1.11854495086785E-026,5.25379980834673E-030
97,0.167026446,0.0186429686,1,1,1,1,1,0.9615268389,0.0001620297,1.83757981767846E-017,1.63492496477285E-019
98,0.1666931916,0.0183629066,1,1,1,1,1,0.9651464449,0.0001406428,7.12161328491675E-018,5.54401636030387E-020
99,0.1664946252,0.0183470883,1,1,1,1,1,0.9660896099,0.0001448948,7.3382308296456E-018,5.69868945662351E-020
100,0.1670653705,0.017635776,1,1,1,1,1,0.9690833809,7.15342481562243E-005,2.64379266029995E-019,1.35837017981343E-021
101,0.167158095,0.017582042,1,1,1,1,1,0.969113615,6.68075157213476E-005,1.97141477546978E-019,9.78190590319668E-022
102,0.1672712211,0.0180561866,1,1,1,1,1,0.965053808,9.74022287845187E-005,1.51801187045012E-018,9.85229172869785E-021
103,0.1664291344,0.0182319182,1,1,1,1,1,0.9672129421,0.0001344451,4.74529343038359E-018,3.47438313729631E-020
104,0.166597067,0.0179480052,1,1,1,1,1,0.9686345807,0.0001034025,1.33043023839464E-018,8.30032858579069E-021
105,0.1663290342,0.0178127134,1,1,1,1,1,0.9706395511,9.81657370895268E-005,8.44991521248963E-019,4.92440036696226E-021
