numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,0.3996666781,0.5116899729,1,0.9991186353,0.9842378355,0.8796494985,0.577727106,0.3481905372,0.2790583617,0.223170626,0.2173800931
7,0.3038554549,0.1879001971,1,1,0.9999999999,0.9998942476,0.8517286663,0.2902289303,0.1389799907,0.0589215669,0.0529271733
8,0.3040065519,0.1904653292,1,1,0.9999999998,0.9998709944,0.848265867,0.2925104448,0.1420632517,0.0613399155,0.0552303981
9,0.287184714,0.1804065871,1,1,1,0.9999611133,0.8809287934,0.3144527616,0.1497348208,0.0622146962,0.0557064106
10,0.2663194788,0.076104412,1,1,1,1,0.998931587,0.1917603832,0.0144293338,0.0003785812,0.0002331567
11,0.249134069,0.0801819101,1,1,1,1,0.999122122,0.2700100914,0.0314465426,0.0014300171,0.0009446283
12,0.2469169903,0.0728723903,1,1,1,1,0.9997426255,0.2598447999,0.021895503,0.0005747537,0.0003515754
13,0.2567962447,0.0702780657,1,1,1,1,0.9997305061,0.2094979177,0.0128377937,0.0002226161,0.0001290918
14,0.247745025,0.0751092234,1,1,1,1,0.9996081786,0.26249427,0.0245876283,0.0007745518,0.0004860778
15,0.2317575386,0.0739766789,1,1,1,1,0.9998561001,0.3338556535,0.0374506238,0.0013602684,0.0008656014
16,0.2193113228,0.0636726705,1,1,1,1,0.9999947909,0.3808342026,0.0304774036,0.0005057607,0.0002862111
17,0.2416553318,0.0620452566,1,1,1,1,0.999984351,0.2509923853,0.0112123311,0.000094362,4.91351023484011E-005
18,0.2346007931,0.072583223,1,1,1,1,0.9998721495,0.3167860627,0.0318385505,0.0009860905,0.0006142852
19,0.2344169659,0.0667064819,1,1,1,1,0.9999657401,0.3029459401,0.0219496506,0.0003837665,0.000220577
20,0.2474738212,0.0810790134,1,1,1,1,0.9990789306,0.2790972486,0.0344640932,0.001700718,0.0011356454
21,0.2298659496,0.0636686508,1,1,1,1,0.9999889631,0.3195047739,0.0206893228,0.0002769025,0.0001528936
22,0.2476038175,0.0658117572,1,1,1,1,0.9999372493,0.2347376537,0.0124542649,0.000152889,8.41777187364734E-005
23,0.232002923,0.0627190083,1,1,1,1,0.9999903561,0.3049350973,0.0176599469,0.000200334,0.0001081892
24,0.2156852662,0.0600442894,1,1,1,1,0.9999989052,0.3969582368,0.0270106594,0.0003067676,0.0001640101
25,0.2164186068,0.0606109539,1,1,1,1,0.9999985566,0.3932396868,0.0273814946,0.0003300554,0.0001780695
26,0.2139226128,0.0551481945,1,1,1,1,0.9999998934,0.4003434672,0.0194258486,0.0001087721,5.24325649141986E-005
27,0.2170838022,0.0583583171,1,1,1,1,0.9999993762,0.3848605222,0.022412572,0.0001937246,9.96731591868135E-005
28,0.2307891489,0.0559993249,1,1,1,1,0.9999992354,0.2912238693,0.0097573882,4.02828744634461E-005,1.88382915089776E-005
29,0.2202013256,0.0536316767,1,1,1,1,0.9999999091,0.3532102483,0.0125053471,0.000044394,2.0145269545997E-005
30,0.2083179853,0.0498101214,1,1,1,1,0.9999999976,0.433687433,0.0148293781,3.42437911977396E-005,1.44324198648771E-005
31,0.218224707,0.052926121,1,1,1,1,0.9999999492,0.3652944043,0.0127491515,4.17280628884865E-005,1.86826720251887E-005
32,0.2105594074,0.0522136295,1,1,1,1,0.9999999852,0.4198666255,0.0171111153,6.12342873898654E-005,2.75754379582791E-005
33,0.2073255404,0.0546892207,1,1,1,1,0.9999999564,0.4467216398,0.0248543359,0.000154209,7.50281322624615E-005
34,0.2024809252,0.0455167513,1,1,1,1,1,0.4782661088,0.0121769714,1.17474125056956E-005,4.32375400946663E-006
