numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,0.0686167927,0.0131794437,1,1,1,1,1,1,0.9913723914,4.34190692815231E-006,9.62957783218754E-008
7,0.06907766,0.0108907852,1,1,1,1,1,1,0.9977394555,0.000000029,1.12840868140398E-010
8,0.066874096,0.0098984568,1,1,1,1,1,1,0.9995909137,4.57561828852908E-009,7.09206849020074E-012
9,0.0621715522,0.0107985035,1,1,1,1,1,1,0.9997700784,0.000000678,4.27038635492369E-009
10,0.0622981564,0.0094814432,1,1,1,1,1,1,0.9999650142,1.73555573085278E-008,2.50673637925339E-011
11,0.0611169499,0.0110073717,1,1,1,1,1,1,0.9997941402,1.70960370360799E-006,1.40914866908633E-008
12,0.060589452,0.0117734761,1,1,1,1,1,1,0.9995921347,8.66015510027066E-006,1.32860532157332E-007
13,0.062056231,0.0123810406,1,1,1,1,1,1,0.9989104383,1.30823166279233E-005,2.69058514238518E-007
14,0.0593116247,0.0102417779,1,1,1,1,1,1,0.9999644813,7.36912506298839E-007,3.4954012146961E-009
15,0.0581129665,0.0108739373,1,1,1,1,1,1,0.9999414353,4.83076163371805E-006,4.53977741017663E-008
16,0.0583537763,0.011816416,1,1,1,1,1,1,0.9997878088,2.1375613366482E-005,3.93901270394183E-007
17,0.0559571333,0.0128376878,1,1,1,1,1,1,0.9996990398,0.0001718888,6.53836705727604E-006
18,0.0550787499,0.0124340482,1,1,1,1,1,1,0.9998485233,0.0001442415,4.71883482695958E-006
19,0.0524921701,0.0105292887,1,1,1,1,1,1,0.9999967886,2.72295672456735E-005,3.0925168721118E-007
20,0.0511327673,0.0092074946,1,1,1,1,1,1,0.9999999444,3.96039545511742E-006,0.000000014
21,0.0491184146,0.0077251639,1,1,1,1,1,1,1,2.05528147008535E-007,1.0204192851064E-010
22,0.0479103515,0.0093507081,1,1,1,1,1,1,0.9999999873,2.51449053850311E-005,1.49787849310995E-007
23,0.0493189393,0.0063039588,1,1,1,1,1,1,1,2.22761602325317E-010,2.56899538878263E-015
24,0.0478359692,0.0066673639,1,1,1,1,1,1,1,6.94246447386442E-009,3.62475339201979E-013
25,0.0478734187,0.0108989181,1,1,1,1,1,1,0.9999991353,0.0002554548,5.6029188018919E-006
26,0.0472754939,0.0104191532,1,1,1,1,1,1,0.9999997908,0.0001733862,2.8480830299743E-006
27,0.0455928036,0.0106734319,1,1,1,1,1,1,0.9999998279,0.0004269415,9.70307139971479E-006
28,0.0435329995,0.0107445073,1,1,1,1,1,1,0.9999999262,0.0009013633,2.54286869774394E-005
29,0.0437340887,0.0106443705,1,1,1,1,1,1,0.9999999375,0.0007643083,1.98981587181982E-005
30,0.0419223413,0.0100305793,1,1,1,1,1,1,0.9999999965,0.0007300419,1.46105136986093E-005
31,0.040325038,0.011357146,1,1,1,1,1,1,0.9999999257,0.0037911123,0.0001921542
32,0.0384268924,0.0094267849,1,1,1,1,1,1,1,0.0012825902,2.28738880615955E-005
33,0.0403126694,0.0091946254,1,1,1,1,1,1,1,0.0004889981,0.000005816
34,0.038308147,0.0069576166,1,1,1,1,1,1,1,2.36425698386904E-005,1.83612641990908E-008
35,0.0395998485,0.0095626994,1,1,1,1,1,1,0.9999999999,0.0009829222,1.72841482193441E-005
36,0.0393146187,0.0099691469,1,1,1,1,1,1,0.9999999994,0.0016382335,4.01288638765363E-005
37,0.0384125674,0.0101440904,1,1,1,1,1,1,0.9999999994,0.0025480273,7.63324193245016E-005
38,0.0382908772,0.0084169839,1,1,1,1,1,1,1,0.0003880713,0.000002692
39,0.03774186,0.0086212477,1,1,1,1,1,1,1,0.0006457824,5.99492366292662E-006
40,0.0368549794,0.0088765094,1,1,1,1,1,1,1,0.0012415281,1.64814476965062E-005
41,0.035083289,0.0069352965,1,1,1,1,1,1,1,0.000149158,2.1110932596649E-007
42,0.0335742796,0.0055146208,1,1,1,1,1,1,1,9.56249960614148E-006,5.70828947549678E-010
43,0.0340178026,0.0053516928,1,1,1,1,1,1,1,3.59662080795641E-006,1.03230385658251E-010
44,0.034228389,0.0059762289,1,1,1,1,1,1,1,0.000025161,5.09839388551785E-009
45,0.03364272,0.0055904319,1,1,1,1,1,1,1,1.17293068410196E-005,8.83412699054807E-010
46,0.0336961335,0.0054249733,1,1,1,1,1,1,1,6.27026644431712E-006,2.62741094398722E-010
47,0.0343783364,0.0058011925,1,1,1,1,1,1,1,0.000013211,1.5512484176239E-009
48,0.0341681256,0.0058651831,1,1,1,1,1,1,1,1.889362394739E-005,2.84563645876206E-009
49,0.0338445148,0.005824771,1,1,1,1,1,1,1,2.12326838087581E-005,3.11533907030864E-009
50,0.0340185308,0.0047294693,1,1,1,1,1,1,1,1.90229888591187E-007,3.17180693305801E-013
51,0.0326619581,0.004352197,1,1,1,1,1,1,1,0.000000096,3.0783355020422E-014
52,0.0319433224,0.0041630545,1,1,1,1,1,1,1,6.78534837353283E-008,8.39774682047548E-015
53,0.0312792542,0.0043560287,1,1,1,1,1,1,1,5.17111904551981E-007,3.46824402098277E-013
54,0.0311461388,0.0044897447,1,1,1,1,1,1,1,1.23934036601438E-006,2.00010924199933E-012
55,0.0322561788,0.0052486465,1,1,1,1,1,1,1,1.11578112347475E-005,3.98262583367325E-010
56,0.0321426588,0.0052875485,1,1,1,1,1,1,1,1.40898778190379E-005,6.04920407138192E-010
57,0.0321220493,0.0052820768,1,1,1,1,1,1,1,1.40628280542688E-005,5.9595055057382E-010
58,0.0315572057,0.0052313614,1,1,1,1,1,1,1,1.88809033046819E-005,8.08150026917668E-010
59,0.0307686728,0.0043012271,1,1,1,1,1,1,1,6.87667767142728E-007,4.23075005879859E-013
60,0.030376678,0.0043166002,1,1,1,1,1,1,1,1.17610431448379E-006,9.80870093958026E-013
61,0.0298192346,0.0025448969,1,1,1,1,1,1,1,3.40838189459178E-015,5.19865704872714E-032
62,0.0295726158,0.0023754541,1,1,1,1,1,1,1,8.64472223021202E-017,7.0585192669024E-036
63,0.029489828,0.0023967448,1,1,1,1,1,1,1,2.11496501668834E-016,4.30362998457018E-035
64,0.029402217,0.0024384735,1,1,1,1,1,1,1,8.83398579701873E-016,8.83962149025189E-034
65,0.0292584245,0.0026093333,1,1,1,1,1,1,1,7.87935572844355E-014,1.76049846891961E-029
66,0.0294748416,0.0027149514,1,1,1,1,1,1,1,3.66370868223232E-013,9.28767365926375E-028
67,0.0299803865,0.0029488104,1,1,1,1,1,1,1,6.18835305535729E-012,1.39256748345045E-024
68,0.0301989133,0.0032532991,1,1,1,1,1,1,1,2.67042575738021E-010,8.27347186155442E-021
69,0.0301793424,0.0031957256,1,1,1,1,1,1,1,1.35536563566904E-010,1.79992450748555E-021
70,0.0299559665,0.0031949694,1,1,1,1,1,1,1,2.10469374124878E-010,3.42682756095273E-021
71,0.0299573419,0.0032235374,1,1,1,1,1,1,1,2.98670312745084E-010,7.47794695529437E-021
72,0.0299524855,0.0032420949,1,1,1,1,1,1,1,3.77298013495568E-010,1.24847369854527E-020
