numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,0.3568937116,0.0570004545,1,1,1,1,0.9939739747,0.0029571136,3.28952582897027E-006,5.79533397656025E-010,1.90960107098397E-010
7,0.3632203534,0.0481425381,1,1,1,1,0.9977523649,0.0003490093,2.2818616814739E-008,1.09241853549232E-013,2.26688538878841E-014
8,0.2837678687,0.0815821655,1,1,1,1,0.9959811597,0.1522593419,0.0121437832,0.0003957764,0.0002522952
9,0.2585733955,0.1027128217,1,1,1,1,0.9906259249,0.2842494229,0.061312095,0.0077585153,0.0059105502
10,0.1800495767,0.1148929144,1,1,1,1,0.9973217207,0.5689272313,0.242985246,0.069427259,0.0585447538
11,0.1700576547,0.1026727722,1,1,1,1,0.9993444364,0.6147148031,0.2475122534,0.0595087915,0.0488298087
12,0.2040883158,0.110387115,1,1,1,1,0.9963262788,0.4852280835,0.1728560527,0.039352359,0.0322403276
13,0.1458782835,0.1033906705,1,1,1,1,0.9996926952,0.6996757233,0.3286163096,0.0943857704,0.0791307956
14,0.1083357792,0.0901978114,1,1,1,1,0.9999929494,0.8452466581,0.4631835072,0.1378073384,0.1148579525
15,0.0977767334,0.0710979689,1,1,1,1,0.9999999923,0.9247518147,0.5124730778,0.1084918489,0.0845286068
16,0.0705228347,0.0270902458,1,1,1,1,1,0.9999991212,0.8617267091,0.0127376198,0.0046171537
17,0.0669690383,0.017105198,1,1,1,1,1,1,0.9732614534,0.0004334348,4.51781460512832E-005
18,0.0653641316,0.0199107594,1,1,1,1,1,1,0.9590314388,0.0027128124,0.000513808
19,0.0543849827,0.0147455296,1,1,1,1,1,1,0.9990108843,0.0013059647,0.0001129074
20,0.0567071732,0.0195636737,1,1,1,1,1,1,0.9865483873,0.0084829963,0.0018741917
21,0.0514580556,0.0151769877,1,1,1,1,1,1,0.9993090167,0.0031510049,0.0003487861
22,0.0487287736,0.0109493201,1,1,1,1,1,1,0.9999985837,0.0002022779,4.28567166856485E-006
23,0.0489413396,0.0138214522,1,1,1,1,1,1,0.9998896927,0.002420284,0.0001993299
24,0.0486574733,0.0149328009,1,1,1,1,1,1,0.9997072438,0.0048160767,0.0005601543
25,0.0450739353,0.0109347409,1,1,1,1,1,1,0.9999997458,0.0006693098,1.87728996790852E-005
26,0.0424520295,0.0075677459,1,1,1,1,1,1,1,9.00622819927141E-006,1.01397230451879E-008
27,0.0427522496,0.0079446737,1,1,1,1,1,1,1,1.87357268365953E-005,0.000000037
28,0.0435793347,0.0122747962,1,1,1,1,1,1,0.9999978514,0.0031130233,0.0001923887
29,0.0414991455,0.012521264,1,1,1,1,1,1,0.9999985095,0.0059406179,0.0004593748
30,0.0411727294,0.0088865494,1,1,1,1,1,1,1,0.0002258673,1.80070405984021E-006
31,0.0395224198,0.008015295,1,1,1,1,1,1,1,0.0001151348,4.09309927974227E-007
32,0.0368315958,0.0074688608,1,1,1,1,1,1,1,0.0001637844,4.08308140179194E-007
33,0.0377369573,0.0078447135,1,1,1,1,1,1,1,0.0002033085,7.52783677278966E-007
34,0.0372958333,0.0069820528,1,1,1,1,1,1,1,4.62574455173995E-005,0.000000046
35,0.037873061,0.0060961481,1,1,1,1,1,1,1,2.41267184010901E-006,2.60539149990561E-010
36,0.0351102592,0.005039211,1,1,1,1,1,1,1,3.13071277222113E-007,1.614121424643E-012
37,0.0356527116,0.0056631479,1,1,1,1,1,1,1,2.95250962376064E-006,1.53141795024925E-010
38,0.033894964,0.0039020556,1,1,1,1,1,1,1,4.57174225067074E-010,1.8699027882261E-018
39,0.0357274717,0.0064929179,1,1,1,1,1,1,1,3.71016246565751E-005,1.87190332445565E-008
40,0.0342486965,0.0046940364,1,1,1,1,1,1,1,1.19673146035495E-007,1.47988371039931E-013
41,0.0354941355,0.0065025645,1,1,1,1,1,1,1,4.41592804444644E-005,0.000000024
42,0.0372000114,0.0082163729,1,1,1,1,1,1,1,0.0004657062,2.98362214478894E-006
43,0.0363752127,0.0086941621,1,1,1,1,1,1,1,0.0012079955,1.43296281192021E-005
44,0.0341531115,0.0071484837,1,1,1,1,1,1,1,0.0003640491,8.86681185404552E-007
45,0.033807072,0.0076357428,1,1,1,1,1,1,1,0.0009108892,4.76709787525618E-006
46,0.0333135035,0.0073326767,1,1,1,1,1,1,1,0.0007379045,2.77089394901687E-006
47,0.0326917724,0.0061538379,1,1,1,1,1,1,1,0.0001132706,5.4089426984053E-008
48,0.0313292282,0.0041717022,1,1,1,1,1,1,1,1.58679104508182E-007,2.95775063306588E-014
49,0.0308892151,0.0036166177,1,1,1,1,1,1,1,3.82718723691818E-009,6.65831047953309E-018
50,0.0304769295,0.0031440995,1,1,1,1,1,1,1,3.68783707696359E-011,1.6086212495327E-022
51,0.0301782504,0.0033599645,1,1,1,1,1,1,1,0.000000001,1.33286769358609E-019
52,0.0299911759,0.0034721814,1,1,1,1,1,1,1,4.26777139347687E-009,2.87130824952212E-018
53,0.0299061074,0.003786736,1,1,1,1,1,1,1,7.32924909198004E-008,1.4216823601638E-015
54,0.0304466677,0.0038592897,1,1,1,1,1,1,1,5.8526451987394E-008,1.52077690115985E-015
55,0.0293797296,0.0036729694,1,1,1,1,1,1,1,6.59050975885592E-008,6.27657987449747E-016
56,0.0292304166,0.003340036,1,1,1,1,1,1,1,4.26723151613834E-009,1.05242031731256E-018
57,0.0290503924,0.0034713102,1,1,1,1,1,1,1,2.03307333373905E-008,2.91259013373273E-017
58,0.0288357737,0.0037682157,1,1,1,1,1,1,1,2.88751859142341E-007,9.86556572811974E-015
59,0.0285164956,0.0036053986,1,1,1,1,1,1,1,1.40496052668031E-007,1.29328853535758E-015
60,0.0285825499,0.0036404496,1,1,1,1,1,1,1,1.65865327545325E-007,2.05743701803348E-015
61,0.0284231023,0.0033371948,1,1,1,1,1,1,1,1.68984024444905E-008,8.18243508594987E-018
62,0.0279275437,0.0032456869,1,1,1,1,1,1,1,1.66158366145012E-008,3.83218653559806E-018
63,0.0281091708,0.0034172955,1,1,1,1,1,1,1,5.81333627336197E-008,9.71400940820065E-017
64,0.0277567134,0.0029380751,1,1,1,1,1,1,1,7.5330526727737E-010,1.73933757691036E-021
65,0.0275358749,0.0031056107,1,1,1,1,1,1,1,8.18668317774423E-009,3.77429175217467E-019
66,0.026990601,0.0027434408,1,1,1,1,1,1,1,2.94826302657904E-010,3.8527286875757E-023
67,0.0269543846,0.002753079,1,1,1,1,1,1,1,3.675670693192E-010,6.17604084051591E-023
68,0.0270880693,0.0030953587,1,1,1,1,1,1,1,1.68974227149472E-008,1.05558178304083E-018
69,0.0269618045,0.0031551885,1,1,1,1,1,1,1,3.81121656721406E-008,6.41415100291519E-018
70,0.027186828,0.0030659327,1,1,1,1,1,1,1,1.03682241989399E-008,3.74393442071484E-019
71,0.0272072508,0.0031444306,1,1,1,1,1,1,1,2.22122608120911E-008,2.51870925730113E-018
72,0.026892375,0.0024897683,1,1,1,1,1,1,1,5.81568296302083E-012,1.69948806674206E-027
73,0.0266472059,0.0029478289,1,1,1,1,1,1,1,8.15045917522713E-009,7.86201572732492E-020
74,0.0267554,0.0025799261,1,1,1,1,1,1,1,4.16473101323757E-011,1.68687140894917E-025
75,0.0263752956,0.0023456161,1,1,1,1,1,1,1,1.46299026911384E-012,1.23235775293199E-029
76,0.0266346786,0.0025202551,1,1,1,1,1,1,1,2.05032237841224E-011,2.09119619941294E-026
77,0.0264415212,0.0027081211,1,1,1,1,1,1,1,6.34824509471383E-010,8.05127015000283E-023
78,0.0267040067,0.0028533292,1,1,1,1,1,1,1,2.39632187940033E-009,4.02877383556233E-021
79,0.0261815788,0.002225912,1,1,1,1,1,1,1,1.80223589685703E-013,3.05674208646716E-032
80,0.0260959787,0.002169904,1,1,1,1,1,1,1,5.95274126449394E-014,1.29198585367681E-033
81,0.0259493165,0.0022316788,1,1,1,1,1,1,1,4.44186841031197E-013,1.48990325975499E-031
82,0.0260937963,0.0022582534,1,1,1,1,1,1,1,5.14181651010136E-013,3.48815746954156E-031
83,0.0261166759,0.0025789961,1,1,1,1,1,1,1,2.06273175318105E-010,2.10338988417929E-024
84,0.0262064207,0.0024223387,1,1,1,1,1,1,1,1.11278967010605E-011,1.40451197456144E-027
85,0.0261525162,0.0024044567,1,1,1,1,1,1,1,9.22819956943705E-012,7.44402693925763E-028
86,0.0261303171,0.0024211194,1,1,1,1,1,1,1,1.34752099030657E-011,1.86420481849074E-027
87,0.0260826116,0.0022407848,1,1,1,1,1,1,1,3.55708654393392E-013,1.29091151916195E-031
88,0.0263340796,0.0023942743,1,1,1,1,1,1,1,4.48463895426056E-012,1.93682924548577E-028
89,0.0261758402,0.0025098614,1,1,1,1,1,1,1,5.78330512039396E-011,9.12110614421086E-026
90,0.0262814916,0.0026967892,1,1,1,1,1,1,1,7.83271933972282E-010,9.64373856852552E-023
91,0.0266110087,0.0029984026,1,1,1,1,1,1,1,1.51276706060462E-008,3.49472989322578E-019
92,0.0264117657,0.0029033505,1,1,1,1,1,1,1,7.897403249428E-009,4.64327556506224E-020
93,0.0262025674,0.003039495,1,1,1,1,1,1,1,4.89235505449335E-008,3.32737239589575E-018
94,0.0259406385,0.0027364731,1,1,1,1,1,1,1,2.85136878638222E-009,1.27644258902879E-021
95,0.0257974793,0.0028491195,1,1,1,1,1,1,1,1.4723922400516E-008,6.85694942487887E-020
96,0.0257761819,0.0027926663,1,1,1,1,1,1,1,8.06230831771535E-009,1.35374011295465E-020
97,0.0256118432,0.0029273441,1,1,1,1,1,1,1,4.82728409351935E-008,1.07459955768505E-018
98,0.0257943157,0.0027527149,1,1,1,1,1,1,1,4.79789332415622E-009,3.60947725525753E-021
99,0.0258179929,0.0027840165,1,1,1,1,1,1,1,6.66747526419473E-009,8.99418480334464E-021
100,0.0255201962,0.0029571679,1,1,1,1,1,1,1,7.67416743833382E-008,3.06907866467591E-018
101,0.025396552,0.0028659329,1,1,1,1,1,1,1,3.88767776513522E-008,3.94616175043739E-019
102,0.0257390023,0.0026558484,1,1,1,1,1,1,1,1.55043284374714E-009,1.63932463395403E-022
103,0.025545056,0.0029397795,1,1,1,1,1,1,1,6.18877811949447E-008,1.82105304947914E-018
104,0.0253965995,0.0029474963,1,1,1,1,1,1,1,8.77294941723277E-008,3.4567272807419E-018
105,0.0255121818,0.0029154888,1,1,1,1,1,1,1,5.17096631253356E-008,1.06141171695851E-018
106,0.0254821348,0.0029206212,1,1,1,1,1,1,1,5.75934721885162E-008,1.33205096344406E-018
107,0.0254921553,0.0029421159,1,1,1,1,1,1,1,6.98467175108561E-008,2.26619251689977E-018
108,0.0252287863,0.0029999221,1,1,1,1,1,1,1,1.92332724390264E-007,2.0533110936146E-017
109,0.0252181482,0.0029790934,1,1,1,1,1,1,1,1.62522037015679E-007,1.28031189550842E-017
110,0.0253742398,0.0028919846,1,1,1,1,1,1,1,0.000000053,8.62233347080414E-019
111,0.0251190737,0.0029100911,1,1,1,1,1,1,1,1.02142595087188E-007,3.02196877171713E-018
