numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,0.2640619105,0.1520358239,1,1,1,0.9999993526,0.9396519607,0.3367458817,0.140271498,0.0473543117,0.0412077023
7,0.2417006055,0.1292464502,1,1,1,0.9999999978,0.9771689124,0.3734823932,0.1364606862,0.0365101475,0.0307366749
8,0.2379144478,0.1021101193,1,1,1,1,0.9948663589,0.3552035462,0.0884047057,0.0128059729,0.0099036269
9,0.2712777068,0.1769191637,1,1,1,0.9999809704,0.9019610515,0.3435171835,0.1664940191,0.0698619867,0.0625957203
10,0.249095737,0.1682441002,1,1,1,0.9999959625,0.9320600577,0.3852149812,0.1877583797,0.0776403498,0.0693617308
11,0.2288557336,0.1687669675,1,1,1,0.999997553,0.9459310464,0.432119845,0.222578827,0.0973513002,0.0875423018
12,0.1895145173,0.1375628234,1,1,1,0.9999999981,0.9879973685,0.5303792492,0.2576144774,0.0959525718,0.0841544599
13,0.1528544314,0.1255410322,1,1,1,1,0.9971555705,0.6463702204,0.3368727222,0.1275789735,0.111694563
14,0.1170251009,0.0614426594,1,1,1,1,0.9999999998,0.9115632715,0.390855785,0.0407656317,0.0284145487
15,0.1188836629,0.0663139664,1,1,1,1,0.9999999955,0.8893760302,0.3879134442,0.0503010492,0.0365072985
16,0.0993043004,0.0304852157,1,1,1,1,1,0.9995218877,0.5091034258,0.0016979224,0.0005620751
17,0.0922505494,0.0290165474,1,1,1,1,1,0.999897745,0.6052923851,0.0022940943,0.0007383105
18,0.0960654206,0.0326105878,1,1,1,1,1,0.9992815694,0.5480172284,0.0041552633,0.0016104193
19,0.0945174736,0.0295117092,1,1,1,1,1,0.9998243902,0.5736892436,0.002092549,0.0006807028
20,0.0939923507,0.0318709125,1,1,1,1,1,0.9995597379,0.5747574246,0.0042020072,0.0015932061
21,0.0946974776,0.0289420014,1,1,1,1,1,0.9998628304,0.5726841667,0.001714243,0.0005339969
22,0.0928819455,0.0289845257,1,1,1,1,1,0.9998903583,0.5969967767,0.0021213869,0.0006764027
23,0.0935299902,0.0304814974,1,1,1,1,1,0.9997611321,0.5840479923,0.0030686837,0.0010759751
24,0.0922914745,0.0326050811,1,1,1,1,1,0.9995224469,0.5934469947,0.0058032948,0.0023231435
25,0.0872693529,0.0286457846,1,1,1,1,1,0.999958459,0.6716291022,0.0034940853,0.0011576164
26,0.0836321612,0.0297422221,1,1,1,1,1,0.9999543361,0.7089511883,0.0066491751,0.0024624889
27,0.086120964,0.028615358,1,1,1,1,1,0.9999654912,0.6861691077,0.0039053661,0.0013079323
28,0.0814364522,0.025656064,1,1,1,1,1,0.999998093,0.7653302063,0.0026814369,0.0007513541
29,0.0816785,0.0278003583,1,1,1,1,1,0.9999895995,0.7450644028,0.0049639558,0.0016514845
30,0.0780153819,0.0223543029,1,1,1,1,1,0.9999999758,0.8373100629,0.001172688,0.0002415562
31,0.0693844285,0.0115881379,1,1,1,1,1,1,0.995878794,1.4909478343174E-007,1.06519872515139E-009
32,0.0696659316,0.0100406405,1,1,1,1,1,1,0.998740829,1.40402859568206E-009,1.9828956573327E-012
33,0.0694699902,0.0106551348,1,1,1,1,1,1,0.9979168368,1.19332419873325E-008,3.51864615459294E-011
34,0.0670170446,0.0104394938,1,1,1,1,1,1,0.9992096371,2.35841385170982E-008,6.83306198946222E-011
35,0.0684176823,0.0105140577,1,1,1,1,1,1,0.998666927,1.37894899042652E-008,3.82675423391639E-011
36,0.0668945921,0.0104604843,1,1,1,1,1,1,0.9992240692,2.67899697644749E-008,8.02839771675833E-011
37,0.0663800723,0.0107864756,1,1,1,1,1,1,0.9990860563,8.61773381562575E-008,3.77741005594319E-010
38,0.0648403244,0.0088794203,1,1,1,1,1,1,0.9999624751,3.28489865930019E-010,1.41428989962454E-013
39,0.0624645581,0.0091626729,1,1,1,1,1,1,0.9999790333,5.14430912147952E-009,4.6388343321663E-012
40,0.0611359956,0.0085379011,1,1,1,1,1,1,0.9999973423,1.05377263876222E-009,4.01794834866688E-013
41,0.0603599524,0.0090999452,1,1,1,1,1,1,0.9999933792,1.56420568221313E-008,1.64463970272258E-011
42,0.0581572273,0.008620954,1,1,1,1,1,1,0.9999993938,1.16134764684308E-008,7.59718077839358E-012
43,0.0595954588,0.010468121,1,1,1,1,1,1,0.9999432531,1.08046058832261E-006,6.23976218366133E-009
44,0.0574605758,0.0109682095,1,1,1,1,1,1,0.9999474334,7.55415535255273E-006,8.07992769284765E-008
45,0.0559837876,0.0101056516,1,1,1,1,1,1,0.999993365,2.678422596753E-006,1.51365984538883E-008
46,0.0548469074,0.0089444185,1,1,1,1,1,1,0.999999777,2.66612981965882E-007,4.33986862262683E-010
47,0.0541675498,0.0083545575,1,1,1,1,1,1,0.9999999794,6.22912467363792E-008,4.47818342071366E-011
48,0.0534987835,0.008923194,1,1,1,1,1,1,0.9999999062,5.44594608655527E-007,0.000000001
49,0.0529180615,0.009514863,1,1,1,1,1,1,0.9999996256,3.23171266933195E-006,1.33640158061038E-008
50,0.0534380699,0.0089146401,1,1,1,1,1,1,0.999999912,5.50509396063505E-007,0.000000001
51,0.0516621424,0.0071083908,1,1,1,1,1,1,1,2.30070453891939E-009,1.82736437874237E-013
52,0.0522558561,0.0062485505,1,1,1,1,1,1,1,6.78128378995392E-012,3.06036381965326E-017
53,0.0521785133,0.0074872158,1,1,1,1,1,1,0.9999999999,8.83433203603957E-009,1.59584739570932E-012
54,0.0527359222,0.007043436,1,1,1,1,1,1,1,6.496553179043E-010,3.51675061835344E-014
55,0.0494751939,0.0073932017,1,1,1,1,1,1,1,4.66296755837505E-008,1.10081787843008E-011
56,0.0487392284,0.0072353058,1,1,1,1,1,1,1,0.000000043,8.12324053801151E-012
57,0.0486266556,0.0075889985,1,1,1,1,1,1,1,1.79199377633543E-007,7.39531008734391E-011
58,0.0477366166,0.0063971805,1,1,1,1,1,1,1,1.82916429370298E-009,4.25661856981419E-014
59,0.0478663921,0.0078365208,1,1,1,1,1,1,1,6.75701116368045E-007,5.04064765621248E-010
60,0.0481374701,0.0072313034,1,1,1,1,1,1,1,6.67623035825516E-008,1.39909769767789E-011
61,0.0465261411,0.0063285113,1,1,1,1,1,1,1,3.92425640197928E-009,9.77554624871314E-014
62,0.0470734364,0.0064920982,1,1,1,1,1,1,1,5.63066004742566E-009,2.0703361070037E-013
63,0.0460227473,0.0077128187,1,1,1,1,1,1,1,1.50231140455708E-006,1.20793355325916E-009
64,0.0462234775,0.0073295474,1,1,1,1,1,1,1,3.86394962396333E-007,1.42747371277419E-010
65,0.0455010122,0.0064620573,1,1,1,1,1,1,1,1.96729015191911E-008,9.52559465699543E-013
66,0.0447713582,0.0062362539,1,1,1,1,1,1,1,1.23282194975571E-008,3.50584472414607E-013
67,0.0454099797,0.0071201123,1,1,1,1,1,1,1,3.292266283623E-007,8.98803351370485E-011
68,0.044798094,0.0069177462,1,1,1,1,1,1,1,2.44901683953365E-007,4.71485397340608E-011
69,0.0449488149,0.007129026,1,1,1,1,1,1,1,4.73540618648865E-007,1.44057009980515E-010
70,0.0451849896,0.0072298599,1,1,1,1,1,1,1,5.67611513565604E-007,2.05523661504276E-010
71,0.0445131257,0.0076884123,1,1,1,1,1,1,1,3.57825775056366E-006,3.52690895563279E-009
72,0.0435794368,0.0074393808,1,1,1,1,1,1,1,3.18470230198814E-006,2.3432374139052E-009
73,0.0436696477,0.0087762273,1,1,1,1,1,1,0.9999999999,6.2410178013553E-005,3.2472235354407E-007
74,0.0419135408,0.0067889514,1,1,1,1,1,1,1,1.29568565787052E-006,3.33366506056748E-010
75,0.0431368517,0.0073360944,1,1,1,1,1,1,1,3.13667427421649E-006,2.05029139819155E-009
76,0.0411731871,0.0060519845,1,1,1,1,1,1,1,1.29617419073965E-007,5.11410915540426E-012
77,0.0406502676,0.0052147837,1,1,1,1,1,1,1,2.08163545817793E-009,3.21539548305839E-015
78,0.0417150929,0.0057511868,1,1,1,1,1,1,1,1.74856514900425E-008,2.03366412793715E-013
79,0.0411555541,0.0061575711,1,1,1,1,1,1,1,2.09941978129154E-007,1.16466470843158E-011
80,0.0402025073,0.0053554244,1,1,1,1,1,1,1,8.52176885483166E-009,3.02775177865688E-014
81,0.0411886341,0.0049393383,1,1,1,1,1,1,1,1.35663310873137E-010,3.74933125618636E-017
82,0.0395410107,0.0050862098,1,1,1,1,1,1,1,3.16004765438928E-009,3.7974743035435E-015
83,0.0388898274,0.0050856712,1,1,1,1,1,1,1,6.70988957951555E-009,1.02908362801341E-014
84,0.0393994369,0.0051072554,1,1,1,1,1,1,1,4.29617311952508E-009,6.07739324967589E-015
85,0.0375701706,0.0053183981,1,1,1,1,1,1,1,1.08632872269935E-007,8.07782560952662E-013
86,0.037047732,0.0049657344,1,1,1,1,1,1,1,2.56313004327398E-008,4.30400577680083E-014
87,0.0380185994,0.0050974823,1,1,1,1,1,1,1,1.93639492956616E-008,4.38198707110884E-014
88,0.0375657576,0.0051187831,1,1,1,1,1,1,1,3.61786579039681E-008,1.0775363805259E-013
89,0.0376357682,0.0051566591,1,1,1,1,1,1,1,4.17866314971299E-008,1.45519437508795E-013
90,0.037203804,0.0055633381,1,1,1,1,1,1,1,5.0460333670766E-007,1.1364979989759E-011
91,0.0372718945,0.0053830528,1,1,1,1,1,1,1,2.02863889561382E-007,2.19637637000949E-012
92,0.0372790938,0.0054401563,1,1,1,1,1,1,1,0.000000266,3.62654696588873E-012
93,0.0372432273,0.0054560823,1,1,1,1,1,1,1,0.000000297,4.36569358999056E-012
94,0.0377766931,0.0057892172,1,1,1,1,1,1,1,8.01268930324562E-007,3.39205028080979E-011
95,0.0376600771,0.0056723983,1,1,1,1,1,1,1,5.40586066258564E-007,1.57715752876115E-011
96,0.0376893962,0.0057328249,1,1,1,1,1,1,1,6.82753785647306E-007,2.44388429219886E-011
97,0.0376214696,0.0056715309,1,1,1,1,1,1,1,5.57436685164511E-007,1.64033015872056E-011
98,0.0362961288,0.0043774276,1,1,1,1,1,1,1,9.43712195512447E-010,5.58407146100633E-017
99,0.0363267862,0.004369636,1,1,1,1,1,1,1,8.4587202408563E-010,4.64763851674081E-017
100,0.0363336493,0.0043721945,1,1,1,1,1,1,1,8.56162113228156E-010,4.77853494534049E-017
101,0.0361578673,0.004413949,1,1,1,1,1,1,1,1.55029004548801E-009,1.28751594744913E-016
102,0.0361767881,0.0044502059,1,1,1,1,1,1,1,0.000000002,2.15996492522321E-016
103,0.0366108102,0.0053273663,1,1,1,1,1,1,1,0.000000294,3.16061467776132E-012
104,0.0357248618,0.0052422549,1,1,1,1,1,1,1,4.61898323635462E-007,4.72010701323521E-012
105,0.0365372653,0.0053381829,1,1,1,1,1,1,1,3.3266974085649E-007,3.83680820541582E-012
106,0.0364816591,0.0053388721,1,1,1,1,1,1,1,3.52175951165242E-007,4.15162815001832E-012
107,0.0365064676,0.0053373079,1,1,1,1,1,1,1,3.41279183062178E-007,3.96338016269495E-012
108,0.0364628095,0.0052383113,1,1,1,1,1,1,1,2.18852941552408E-007,1.69179282338016E-012
109,0.0364905639,0.0052378721,1,1,1,1,1,1,1,2.12388785613186E-007,1.62257161206217E-012
110,0.036474679,0.0052300528,1,1,1,1,1,1,1,2.07408972200207E-007,1.53966194740244E-012
111,0.0356071149,0.0052617188,1,1,1,1,1,1,1,5.67435691908749E-007,6.56483012177936E-012
112,0.0357903287,0.0044298867,1,1,1,1,1,1,1,2.90922962189733E-009,3.25730864130753E-016
113,0.0365123154,0.0043551804,1,1,1,1,1,1,1,5.73309729484491E-010,2.56552475587593E-017
114,0.0361729224,0.0044366489,1,1,1,1,1,1,1,1.82573467164975E-009,1.77197286981532E-016
115,0.0355798286,0.0050003825,1,1,1,1,1,1,1,1.5639383050014E-007,5.57857117548937E-013
116,0.0354284836,0.0043321688,1,1,1,1,1,1,1,2.18306623742411E-009,1.44294846766692E-016
117,0.036026463,0.0046055946,1,1,1,1,1,1,1,0.000000008,2.59280235567655E-015
118,0.0360260671,0.0046132629,1,1,1,1,1,1,1,8.42509574918284E-009,2.87674162954434E-015
119,0.0356325664,0.0047326268,1,1,1,1,1,1,1,3.04498105347766E-008,2.55395802551892E-014
120,0.0360317761,0.0046378734,1,1,1,1,1,1,1,9.94995914414267E-009,3.95448165592829E-015
121,0.0350500157,0.0044356762,1,1,1,1,1,1,1,8.14486031522569E-009,1.37404962437398E-015
122,0.035037326,0.0044274888,1,1,1,1,1,1,1,7.79357863399646E-009,1.25036695476024E-015
123,0.0350365619,0.0044379049,1,1,1,1,1,1,1,8.42741002153468E-009,1.45340512152859E-015
124,0.0344428885,0.0040310381,1,1,1,1,1,1,1,6.65246410195581E-010,6.45909199614902E-018
125,0.0344323168,0.0039920497,1,1,1,1,1,1,1,4.67161729847871E-010,3.19840619795322E-018
126,0.0342389565,0.0040588489,1,1,1,1,1,1,1,1.17267855917605E-009,1.64708544193489E-017
127,0.0347296194,0.0043163877,1,1,1,1,1,1,1,0.000000005,4.27748820892755E-016
128,0.034706306,0.0043065214,1,1,1,1,1,1,1,4.81978358298494E-009,3.84569218415512E-016
129,0.0353545397,0.0043947036,1,1,1,1,1,1,1,0.000000004,4.31909085787579E-016
130,0.0346201422,0.0043240639,1,1,1,1,1,1,1,6.21392205213033E-009,5.90623173047806E-016
131,0.03533033,0.0044061546,1,1,1,1,1,1,1,4.49257557017352E-009,5.35637568304182E-016
132,0.0349660076,0.0043852072,1,1,1,1,1,1,1,6.23279605769432E-009,7.70419546090532E-016
133,0.0349628843,0.0043836695,1,1,1,1,1,1,1,6.1860499622845E-009,7.57525486134464E-016
134,0.0349568162,0.0043966139,1,1,1,1,1,1,1,6.87906890831332E-009,9.26182941450383E-016
135,0.0340510523,0.0043386871,1,1,1,1,1,1,1,1.48332117077654E-008,2.10960247604829E-015
136,0.0347765537,0.0045000782,1,1,1,1,1,1,1,1.83742450129971E-008,5.46295191611586E-015
137,0.0355284382,0.0046035112,1,1,1,1,1,1,1,1.46618317966725E-008,5.92318961936362E-015
138,0.035489065,0.0046368793,1,1,1,1,1,1,1,1.93120361871162E-008,9.7674458053857E-015
