numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
6,3.4719635075,1.0460299984,0.9279642903,0.0796854495,0.0297022104,0.0090592853,0.0022473198,0.0008800534,0.0006329902,0.0004671108,0.0004514085
28,1.3918180935,0.6392544165,0.9999999917,0.8292974364,0.5671926756,0.2699613729,0.0814941975,0.031133637,0.0216492022,0.015324164,0.0147308772
50,0.8523921433,0.3808969545,1,0.9987062175,0.9554550358,0.6508169524,0.1774403078,0.0433766415,0.0241161054,0.0134971179,0.0126152571
72,0.6606611336,0.3136241776,1,0.9999902492,0.9962775222,0.8603719694,0.3042300516,0.0709392219,0.0369134484,0.0190093838,0.0175788387
94,0.516774905,0.2246888679,1,1,0.9999939545,0.9842477273,0.4702432648,0.079293761,0.0318054053,0.0120524931,0.0107253066
116,0.3943904037,0.1388690994,1,1,1,0.9999935268,0.7765213543,0.0807850577,0.0170066931,0.0028200269,0.0022555666
138,0.27045363,0.1025848128,1,1,1,1,0.987377249,0.2461093596,0.0482977681,0.0055599177,0.0041896615
160,0.2225737828,0.0846277439,1,1,1,1,0.9994776334,0.3948338654,0.0737543273,0.0060046877,0.0042688255
182,0.1784091972,0.039639953,1,1,1,1,1,0.7070107004,0.0239624039,1.07617175864408E-005,3.38583472747492E-006
204,0.1889427674,0.0674844291,1,1,1,1,0.99999798,0.5650748542,0.0937560658,0.0040053839,0.00255673
226,0.1569762076,0.0254235059,1,1,1,1,1,0.9547040818,0.0125103232,3.71036030044969E-009,3.31967511281237E-010
248,0.1494915271,0.0298968487,1,1,1,1,1,0.9544309591,0.048920731,1.53739052993051E-006,2.86289588835283E-007
270,0.1465237053,0.0254425859,1,1,1,1,1,0.9822164392,0.0337315654,4.02615838098078E-008,4.23082968744473E-009
292,0.1459943106,0.0364418594,1,1,1,1,1,0.9308256676,0.1034512699,9.50522083530086E-005,3.08483608023549E-005
314,0.1486750481,0.0502635605,1,1,1,1,1,0.8464003813,0.1664232332,0.0028993001,0.0015486667
336,0.1390111548,0.0376329467,1,1,1,1,1,0.9474508166,0.1499559396,0.0003038617,0.000110434
358,0.1318411364,0.0404363284,1,1,1,1,1,0.9540621077,0.215512503,0.0012927119,0.0005561532
380,0.1327226912,0.0451890962,1,1,1,1,1,0.9317293447,0.2344935691,0.0033062024,0.0016567467
402,0.1322348935,0.0430778027,1,1,1,1,1,0.9421505959,0.2271411961,0.0022731482,0.0010714558
424,0.1309405619,0.0444618095,1,1,1,1,1,0.93981596,0.2432486261,0.0032631102,0.0016147108
446,0.1304904344,0.0472457316,1,1,1,1,1,0.9293861886,0.2593474455,0.0053816289,0.0028728478
468,0.1243948603,0.0457744464,1,1,1,1,1,0.9507009948,0.2970388667,0.0062254811,0.0032882494
490,0.110317041,0.0057094685,1,1,1,1,1,1,0.0353807104,2.08004596252577E-069,1.76176837058129E-083
512,0.1091940627,0.0053088998,1,1,1,1,1,1,0.0416527455,3.31070103859481E-078,2.64928606223531E-094
534,0.108606712,0.0036439971,1,1,1,1,1,1,0.0090910735,1.45487264577249E-161,1.71910133032569E-195
556,0.1078797676,0.002792421,1,1,1,1,1,1,0.0023874434,1.8214475015471E-269,0
578,0.107783688,0.0031558927,1,1,1,1,1,1,0.0068239766,4.36256913074536E-211,6.00262792253823E-256
600,0.1067961923,0.0024122563,1,1,1,1,1,1,0.0024210178,0,0
622,0.1061145767,0.0019307663,1,1,1,1,1,1,0.0007703213,0,0
644,0.10604198,0.0026322596,1,1,1,1,1,1,0.0108562881,9.07325813510102E-292,0
666,0.105881873,0.0025297661,1,1,1,1,1,1,0.0100342173,1.21664370818544E-314,0
688,0.1052250934,0.0027520714,1,1,1,1,1,1,0.0288082893,1.20995794921632E-262,3.71047430830039E-320
710,0.105331282,0.0027779309,1,1,1,1,1,1,0.0274823138,2.16101516028575E-258,6.70813574886442E-315
732,0.1045345528,0.0033426492,1,1,1,1,1,1,0.0874582186,2.93256514497213E-176,5.44063734524248E-215
754,0.1041413611,0.0033880198,1,1,1,1,1,1,0.1107868065,3.15398962202604E-170,8.81248177558884E-208
